"","Country.Name","Property.Rights","Change.in.Property.Rights.from.2015","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2015","Fiscal.Freedom","Change.in.Fiscal.Freedom.from.2015","Gov.t.Spending","Change.in.Gov.t.Spending.from.2015","Business.Freedom","Change.in.Business.Freedom.from.2015","Labor.Freedom","Change.in.Labor.Freedom.from.2015","Monetary.Freedom","Change.in.Monetary.Freedom.from.2015","Trade.Freedom","Change.in.Trade.Freedom.from.2015","Investment.Freedom","Change.in.Investment.Freedom.from.2015","Financial.Freedom","Change.in.Financial.Freedom.from.2015","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Unemployment....","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","HUMAN.FREEDOM..Rank.","HUMAN.FREEDOM..Quartile.","Procedural.Justice","Civil.Justice","Criminal.Justice","Rule.of.Law","Homicide","Homicide.DATA","Disappearances","Violent.Conflicts","Violent.Conflicts.DATA","Organised.Conflicts","Terrorism.Fatalities","Terrorism.Fatalities.DATA","Terrorism.Injuries","Terrorism.Injuries.DATA","Disapperances","Conflicts","and.Terrorism","Female.Genital.Mutilation","Missing.Women","Inheritance.Rights..Widows","Inheritance.Rights..Daughters","Inheritance.Rights","Women.s.Security...Safety","Security...Safety","Domestic.Movement","Foreign.Movement","Women.s.Movement","Movement","Establishing.Religious.Organizations","Operating.Religious.Organizations","Establishing.and.Operating.Religious.Organizations","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Association","Assembly","Establishing.Political.Parties","Operating.Political.Parties","Establishing.and.Operating.Political.Parties","Establishing.Professional.Organization","Operating.Professional.Organization","Establishing.and.Operating.Professional.Organization","Establishing.Educational","Sporting.and.Cultural.Organizations","Operating.Educational","Sporting.and.Cultural.Organizations.1","Establishing.and.Operating.Educational","Sporting.and.Cultural.Organizations.2","Association.1","Assembly.1","X..Civil.Society","Press.Killed","Press.Killed.DATA","Press.Jailed","Press.Jailed.DATA","Laws.and.Regulations.that.Influence.Media.Content","Political.Pressures.and.Controls.on.Media.Content","Access.to.Cable.Satellite","Access.to.Foreign.Newspapers","State.Control.over.Internet.Access","Expression...Information","Legal.Gender","Parental.Authority..In.Marriage","Parental.Authority..After.Divorce","Parental.Rights","Male.to.Male.Relationships","Female.to.Female.Relationships","Same.Sex.Relationships","Divorce","Identity...Relationships","PERSONAL.FREEDOM..Score.","PERSONAL.FREEDOM..Rank.","Government.Consumption","Government.Consumption.DATA","Transfers.and.subsidies","Transfers.and.subsidies.DATA","Government.enterprises.and.investment","Government.enterprises.and.investment.DATA","Top.marginal.income.tax.rate","Top.marginal.income.tax.rate.DATA","Top.marginal.income.and.payroll.tax.rate","Top.marginal.income.and.payroll.tax.rate.DATA","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Integrity.of.the.legal.system","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Money.growth.DATA","Standard.deviation.of.inflation","Standard.deviation.of.inflation.DATA","Inflation..Most.recent.year","Inflation..Most.recent.year.DATA","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Revenue.from.trade.taxes....of.trade.sector..DATA","Mean.tariff.rate","Mean.tariff.rate.DATA","Standard.deviation.of.tariff.rates","Standard.deviation.of.tariff.rates.DATA","Tariffs","Non.tariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership.investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","ECONOMIC.FREEDOM..Score.","ECONOMIC.FREEDOM..Rank."
"93","Mozambique","30","0","31","1","74.3","-0.9","63.5","-3","55.9","-5","41.9","4","79.5","-2.5","70.8","-4.6","35","-5","50","0","7.1","32","32","22.9","34.9","26.5","31.1 ","7.4","7.3","1174","22.6","2.3","4901.80","55.4","8","130","4",NA,NA,NA,"3","6","8","6","3","4","10","0","9","7","0","9","5","0","9","3","2","2","9","4","2","9","8","7","10","0","10","0","5","0","5","0","5","0","8","3","8","6","10","0","10","0","5","0","8","3",NA,NA,"5","0","9","3","9","4","7","9","5","0","2","5",NA,NA,"0","0",NA,NA,"2","5",NA,NA,"2","5","2","5","10","0","0","0","10","0","0","0","6","0","4","8","7","5","7","5","7","5","7","6","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","6","66","95","3","4","28","3","9","0","4","1","6","0","25","8","7","0","32","0","5","0","38","0","6"
"94","Namibia","30","0","49","1","64.4","-2.3","63.9","7.9","68.2","3.9","84.5","-6.4","75.1","0.8","83.4","12.2","60","5","40","0","0.8","37","34","32.1","34.7","2.2","23.6 ","5.3","5.3","10765","18.6","5.3","413.7","25.2","90","74","2",NA,NA,NA,"5","8","3","1","17","1","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","5","0","5","0","5","0","8","3","7","0","10","0","10","0","10","0","10","0",NA,NA,"7","5","9","8","8","9","8","7","7","5","7","5",NA,NA,"7","5",NA,NA,"7","5",NA,NA,"5","0","7","0","10","0","0","0","10","0","0","0","7","0","6","8",NA,NA,"7","5","8","3","7","0","10","0","10","0","10","0","0","0","10","0","5","0","10","0","8","0","7","39","68","4","3","25","4","6","8","12","1","4","0","37","7","6","0","37","0","6","0","37","0","6","0","5"
"95","Nepal","30","0","29","-2","85.1","-0.5","91.1","2.2","64.9","-0.8","47.3","3","70.8","0.3","55.6","-6.2","5","0","30","0","14.7","25","25","15.3","17.2","28.1","66.8 ","5.5","4.5","2376","2.7","9","29.6","26.3","72","92","3","3","9","4","7","4","3","4","3","9","1","2","2","10","0","10","0","0","0","7","5","9","9","0","2","9","9","0","5","9","5","10","0","7","5","10","0","10","0","10","0","9","2","9","3","10","0","10","0","5","0","8","3",NA,NA,"2","5","7","6","5","5","5","2","7","5","7","5",NA,NA,"5","0",NA,NA,"2","5",NA,NA,"2","5","5","0","10","0","0","0","10","0","0","0","4","7","4","8","5","0","7","5","5","0","6","7","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","6","91","85","8","2","12","0","9","4","2","6","7","0","24","8","7","0","35","0","7","0"
"96","Netherlands","90","0","83","0","52.7","0.9","34.4","10.6","80","-4.3","64","-2.3","83.4","3.6","88","0","90","0","80","0","1","52","25","37.4","46.8","16.9","798.6 ","0.9","0.3","47355","6.9","0.3","30253.30","68.3","55","6","1","8","9","8","7","8","0","8","5","9","8","0","6","10","0","10","0","0","0","10","0","10","0","0","1","10","0","0","2","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"10","0","8","4","8","2","8","9","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","9","3","8","8","10","0","10","0","10","0","9","7","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","9","40","1","1","2","35","9","3","5","24","3","8","0","17","5","3","0","52","0","3","0"
"97","New Zealand","95","0","91","0","71","0.6","46","3","91.4","-4.1","85.9","-5.5","88.1","0.5","87.2","0.4","80","0","80","0","1.4","33","28","32.1","42.4","4.5","158.9 ","3.2","2.2","35152","5.6","1.2","3391.30","34","89","1","1","8","4","7","9","7","4","7","9","9","6","1","0","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"10","0","9","3","9","9","9","7","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","8","7","8","0","10","0","10","0","10","0","9","5","7","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","3","9","28","6","4","6","24","3","6","3","14","1","8","0","18","0","7","0","33","0","7","0"
"98","Nicaragua","10","0","28","0","78","-0.4","82.8","6.2","61.2","3.2","55.7","-1","69","1.2","86.2","0.8","65","0","50","0","1.9","30","30","20","24","6.2","29.5 ","4.5","4.7","4736","5.3","6","840","32.2","85","75","2","4","0","3","9","3","4","3","8","7","1","7","4","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","10","0","5","0","5","0","5","0","8","3","8","3","10","0","10","0","5","0","8","3",NA,NA,"7","5","9","7","6","6","7","9","5","0","2","5",NA,NA,"2","5",NA,NA,"2","5",NA,NA,"7","5","4","0","10","0","0","0","10","0","0","0","5","3","4","0","7","5","5","0","7","5","7","0","0","0","5","0","10","0","7","5","10","0","10","0","10","0","10","0","6","9","6","43","103","9","0","9","5","10","0","0","5","7","0","24","3","8","0","30","0","4","0"
"99","Niger","30","0","35","1","76.3","-0.3","76.8","-6.8","39.6","0.4","42.3","1.4","83","1.7","64.6","-1","55","0","40","0","10.2","35","30","15.8","27.8","17.1","17.9 ","6.9","6.8","1048","5.1","-0.9","769","36.4","86","137","4",NA,NA,NA,"4","2","8","2","4","4","10","0","5","6","13","3","2","5","7","0","8","9","8","7","6","7","6","8","9","8","7","5","0","0","0","0","0","0","5","8","6","9","10","0","10","0","0","0","6","7",NA,NA,"7","5","9","3","6","6","7","8","5","0","5","0",NA,NA,"5","0",NA,NA,"7","5",NA,NA,"5","0","5","5","10","0","0","0","10","0","0","0","4","7","5","3","2","5","2","5","2","5","5","3",NA,"5","0","0","0","2","5","10","0","10","0","10","0","0","0","4","2","5","71","129","6","5","17","8","9","8","1","1","6","0","28","7","7","0","35","0","3","0","46","0","5","0"
"100","Nigeria","30","0","27","2","85.1","-0.1","94.6","18.5","48.7","0.4","72.9","-4.8","71.5","1.1","64.8","1","40","0","40","0","10.1","24","30","3.1","13.4","173.9","1049.1 ","6.3","6.2","6031","7.5","8.1","4693.80","10.5","7","132","4","3","8","5","0","4","2","4","3","6","1","9","8","0","0","5","6","13","1","2","5","6","1","11","6","8","8","6","2","4","6","7","0","7","5","0","0","0","0","0","0","4","8","5","2","5","0","10","0","5","0","6","7",NA,NA,"10","0","6","5","5","5","7","3","7","5","7","5",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","9","0","10","0","0","0","9","9","2","0","5","3","4","5","10","0","10","0","7","5","8","2",NA,"5","0","5","0","5","0","0","0","0","0","0","0","5","0","3","3","5","82","128","9","5","7","8","9","9","1","0","2","0",NA,"9","0","24","0","5","0","38","0"
"101","Norway","90","0","86","0","53.2","1.1","41.8","-2","89.6","-2.5","48.5","0.3","76.2","-5.5","87.8","-1.6","75","0","60","0","1.1","47.8","27","40.8","44","5.2","345.2 ","2.2","1.5","66937","3.4","2","8682.50","30.1","47","10","1","8","9","8","5","8","3","8","6","9","8","0","5","10","0","10","0","0","0","10","0","10","0","0","0","10","0","0","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","9","10","0","10","0","10","0","10","0",NA,NA,"7","5","8","6","6","1","7","4","10","0","10","0",NA,NA,"10","0",NA,NA,"10","0",NA,NA,"10","0","10","0","10","0","0","0","10","0","0","0","9","3","9","3","10","0","10","0","10","0","9","8","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","10","0","9","34","2","1","5","34","8","5","0","19","0","7","0","21","9","6","0","39","0","3","0"
"102","Oman","55","0","45","-2","98.5","0","36.8","-7.4","70.1","1.7","72.5","-3.6","77.9","1.7","85","8.2","70","5","60","0","2.5","0","12","2.6","45.9","4.1","162.4 ","2.9","4.5","39681","7.2","1","1179.90","5.1","13","129","4",NA,NA,NA,"5","9","9","7","0","7","10","0","10","0","0","0","7","5","10","0","0","0","10","0","0","0","9","5","10","0","7","5","0","0","0","0","0","0","5","8","8","4","10","0","10","0","0","0","6","7",NA,NA,"2","5","8","9","3","7","5","0","2","5","2","5",NA,NA,"0","0",NA,NA,"5","0",NA,NA,"2","5","2","5","10","0","0","0","10","0","0","0","1","7","3","3","5","0","2","5","5","0","5","3",NA,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","51","137","0","0","48","3","8","1","7","3","0","0",NA,"10","0","0","0","10","0","17","0","10","0","4"
