geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Comunidad de Madrid,2.5,,5.2,,4.7,,5.3,,2.7,,5.6,,7.3,,4.8,,5.7,,4.3,,5.4,,:,
Comunidad de Madrid,2.5,,5.2,,4.7,,5.3,,2.7,,5.6,,7.3,,4.8,,5.7,,4.3,,5.4,,:,
Centro (ES),1.9,,1.6,,2.5,,3.8,,3.4,,3.7,,3.7,,5.1,,4.6,,4.3,,3.2,,:,
Castilla y León,1.3,,0.8,,2.1,,2.9,,3.7,,2.2,,1.8,,2.6,,2.3,,2,,1,,:,
Castilla-la Mancha,2.3,,2.4,,3.8,,3.8,,3.9,,5.7,,5.8,,8.7,,8.5,,7.6,,4.4,,:,
Extremadura,2.7,,2.2,,1.3,,6.1,,2,,3.5,,3.7,,3.8,,2.4,,3.4,,5.6,,:,
Este (ES),3.2,,3.3,,4.3,,5.3,,6,,7.1,,6.8,,8.4,,6.8,,6.1,,6.1,,:,
Cataluña,3.8,,2.7,,3.1,,5.1,,7.2,,7.4,,6.1,,6.3,,6.7,,5.5,,5,,:,
Comunidad Valenciana,1.9,,4,,5.5,,5.6,,3.9,,6.4,,7.1,,11.3,,6.7,,7.5,,7.4,,:,
Illes Balears,4.8,,3.6,,6.3,,4.7,,7.4,,7.9,,10.4,,9.8,,7.7,,3.7,,6.9,,:,
Sur (ES),6.8,,5.4,,6.1,,7,,6.2,,7.8,,7.4,,9.9,,8.3,,7.5,,5.4,,:,
Andalucía,6.9,,5.4,,5.7,,5.6,,6.3,,7.5,,7,,9.5,,8,,7.1,,5.2,,:,
Región de Murcia,5.9,,5.4,,8.2,,15,,5.8,,9.1,,9,,11.8,,9,,9.5,,6.2,,:,
Ciudad Autónoma de Ceuta (ES),19.9,,2.4,,10.1,,4.5,,7.6,,19.5,,15.3,,12.4,,16.6,,3.5,,3.8,,:,
Ciudad Autónoma de Melilla (ES),8,,10.9,,0.9,,9.7,,6.4,,1,,14.8,,7.4,,15.1,,13.2,,9.4,,:,
Canarias (ES),3,,3.9,,12.7,,3.5,,3.9,,6.5,,8.5,,7.2,,12.4,,10.8,,13.6,,:,
Canarias (ES),3,,3.9,,12.7,,3.5,,3.9,,6.5,,8.5,,7.2,,12.4,,10.8,,13.6,,:,
France,4.7,,5.4,,5.6,,5.8,,5.2,,5.3,,4.9,,4.8,,4.5,,4.4,,4.1,,:,
Croatia,:,,:,,:,,14.3,,15.2,,15.9,,14.7,,13.9,,13.7,,12.5,,10.3,,:,
