"","geo.time","variable","airtransport","fertility_rate","gdp_pps","hr_science_tech","life_expectancy","material_depreviation","motorway","unemployment_rate","population_density","risk_poverty","tertiary_education","tourism_bed_places"
"314","Helsinki-Uusimaa","X2016","17181","1.45","41800","62.1","82","2.1","322","7.4","179.1","7.2","51.6","158"
"315","Helsinki-Uusimaa","X2017","18981","1.38","42400","61.8","82.3","2","322","7.7","181","7.1","51.4","178"
"316","Hovedstaden","X2009","19609","1.71","37700","53.6","78.9","2.7","157","6.2","652.5","13.2","41.4","223"
"317","Hovedstaden","X2010","21394","1.76","41500","55.4","78.9","2.9","157","7.9","659.8","16","43.1","226"
"318","Hovedstaden","X2011","22622","1.64","41100","56.4","79.6","3.7","159","8.1","670.4","12.1","45.4","240"
"319","Hovedstaden","X2012","23252","1.65","42000","57.5","80","3.2","160","8.2","676.8","11.9","46.2","242"
"320","Hovedstaden","X2013","23973","1.58","43100","57.7","80.2","3.5","160","7.4","681.8","9.3","47","240"
"321","Hovedstaden","X2014","25536","1.63","45000","58.4","80.7","3.3","159","7.1","687.6","12.1","48.1","243"
"322","Hovedstaden","X2015","26518","1.63","48000","59.1","80.6","3","164","6.7","695.1","13.2","48.5","242"
"323","Hovedstaden","X2016","28958","1.7","47900","58.5","80.8","3.2","164","6.6","738.5","14","49.8","249"
"324","Hovedstaden","X2017","29119","1.67","49800","59.4","81","3.4","167","6.1","745.4","13.5","50.2","259"
"334","Illes Balears","X2009","27515","1.36","25700","26.9","81.3","6.3","94","17.9","215.7","18.1","22.1","2553"
"335","Illes Balears","X2010","27939","1.35","25400","27.5","81.8","4.7","94","20.1","217.9","22.7","22.6","2570"
"336","Illes Balears","X2011","30265","1.27","25100","29","82.2","7.4","94","21.9","219.6","21","23.7","2680"
"337","Illes Balears","X2012","30067","1.25","25300","29.8","82.1","7.9","94","23.2","221.5","19.9","24.8","2663"
"338","Illes Balears","X2013","30433","1.22","25000","32.4","82.9","10.4","93","22.3","223","19.8","26.8","2646"
"339","Illes Balears","X2014","31306","1.24","26100","33.8","83","9.8","94","20","224.8","17.9","27.9","2659"
"340","Illes Balears","X2015","32354","1.24","27600","33.4","82.7","7.7","94","17.3","226.8","21.7","27.2","2695"
"341","Illes Balears","X2016","36102","1.26","28300","34.2","83.4","3.7","94","13.9","229.9","15.5","29.2","2708"
"342","Illes Balears","X2017","38486","1.22","28900","36.2","83.1","6.9","94","12.4","233","21.3","31.2","2739"
"343","Jadranska Hrvatska","X2009","2801","1.57","14700","30.7","77.9",NA,"604","9.6","57.3",NA,"19.2","1733"
"344","Jadranska Hrvatska","X2010","3084","1.54","14600","32.8","78.2",NA,"604","11.1","57.3",NA,"21.1","1742"
"345","Jadranska Hrvatska","X2011","3206","1.46","14900","30.1","78.6",NA,"613","13.3","57.2",NA,"19.8","1822"
"346","Jadranska Hrvatska","X2012","3555","1.51","15300","31.3","78.6",NA,"613","14.8","57",NA,"20.3","56726"
"347","Jadranska Hrvatska","X2013","3864","1.44","15400","34.4","79.3","14.5","648","15","56.9","15.3","21.2","60792"
"348","Jadranska Hrvatska","X2014","4145","1.44","15700","34.2","79.3","13.5","650","17.2","56.8","15.4","22.3","66303"
"349","Jadranska Hrvatska","X2015","4425","1.4","16600","35.9","78.6","9.8","650","16.8","56.6","15.1","24.6","71690"
"350","Jadranska Hrvatska","X2016","5161","1.41","17200","34.2","79.4","8.2","650","14.2","56.7","15.4","22.8","81088"
"351","Jadranska Hrvatska","X2017","6249","1.39","17800","35.4","78.9","7.6","650","10.9","56.4","18.5","23.7","94653"
"352","Jihovýchod","X2009","391","1.48","18800","39.1","78.1","4.4","227","6.5","121.7","8.5","16.9","861"
"353","Jihovýchod","X2010","356","1.49","18900","36","78.5","5","227","7.5","122","9.6","17.6","836"
"354","Jihovýchod","X2011","525","1.43","19700","35.3","78.8","3.7","227","7.2","122.3","10","19.2","931"
"355","Jihovýchod","X2012","498","1.46","20300","35.5","78.8","5.1","227","7.6","122.4","9.1","20.8","1385"
"356","Jihovýchod","X2013","433","1.47","21200","36.9","79.1","4.9","227","6.8","122.5","6.6","22.6","1377"
"357","Jihovýchod","X2014","457","1.57","22400","38.4","79.7","4.5","227","5.9","122.6","8.1","23.3","1268"
"358","Jihovýchod","X2015","436","1.59","23600","39.4","79.5","3.8","227","4.9","122.8","9.1","24.3","1258"
"359","Jihovýchod","X2016","399","1.66","23600","39.5","79.9","3.7","253","3.7","123","7.5","25.6","1243"
"360","Jihovýchod","X2017","459","1.73","24400","39.3","79.7","2.5","253","3.1","123.3","8.4","25.5","1237"
"361","Kontinentalna Hrvatska","X2009","1997","1.59","15500","27","75.5",NA,"640","9","90.7",NA,"16.2","355"
"362","Kontinentalna Hrvatska","X2010","2017","1.55","15400","27.5","76",NA,"640","11.9","90.4",NA,"17.3","375"
"363","Kontinentalna Hrvatska","X2011","2263","1.49","16000","27","76.5",NA,"640","13.9","90",NA,"17.1","367"
"364","Kontinentalna Hrvatska","X2012","2317","1.52","16300","28.9","76.7",NA,"640","16.5","89.7",NA,"17.6","1082"
"365","Kontinentalna Hrvatska","X2013","2286","1.47","16300","31.7","77.1","14.8","640","18.3","89.3","21.6","19.2","1234"
"366","Kontinentalna Hrvatska","X2014","2418","1.47","16600","32.4","77.2","14.1","640","17.3","88.8","21.4","20.8","1421"
"367","Kontinentalna Hrvatska","X2015","2576","1.4","17600","33.2","76.9","15.7","660","15.9","88.1","22.4","21.8","1749"
"368","Kontinentalna Hrvatska","X2016","2757","1.43","18200","35.3","77.6","14.6","660","12.6","88.6","21.6","23.1","2145"
"369","Kontinentalna Hrvatska","X2017","3081","1.43","18900","36.3","77.5","11.7","660","11.4","87.5","20.7","23.6","3688"
"370","La Rioja","X2009",NA,"1.41","26300","40.9","83","1.7","159","12.6","63.6","17.2","35.2","309"
"371","La Rioja","X2010",NA,"1.44","26400","41.8","83.3","5.3","159","14.1","63.7","21.2","35.6","329"
"372","La Rioja","X2011",NA,"1.37","26000","39.5","83.2","5.5","159","17.2","63.8","20.6","33.1","350"
"373","La Rioja","X2012",NA,"1.41","26000","40.7","83","6.3","165","20.6","63.6","16.8","34.3","369"
"374","La Rioja","X2013",NA,"1.33","25800","41.8","84","6.6","165","20","63","19.3","35.2","388"
"375","La Rioja","X2014",NA,"1.35","27100","43.1","84.2","5.6","176","18.2","62.4","16.2","36.9","408"
"376","La Rioja","X2015",NA,"1.34","28500","45","83.7","4.8","181","15.4","62.2","17.1","39.3","418"
"377","La Rioja","X2016",NA,"1.36","28200","44.8","84.3","5.9","181","13.5","62.2","11.9","37.4","427"
"378","La Rioja","X2017",NA,"1.35","28800","43.5","84","2.9","181","12","62.2","9.7","37.9","438"
"388","Lazio","X2009","38172","1.44","32800","37.5","81.4","6.1","470","8.4","320.9","15.9","19.1","7956"
"389","Lazio","X2010","40486","1.46","32900","36.4","81.7","6.2","470","9.2","323.3","15.9","19.3","8102"
"390","Lazio","X2011","42146","1.48","33400","37.5","81.9","6.2","470","8.7","325","17.2","19.5","8506"
"391","Lazio","X2012","41201","1.47","32400","37.1","82","10.6","470","10.6","327.2","19","20.4","8506"
"392","Lazio","X2013","40655","1.42","31000","37.5","82.8","7.1","470","12","331.6","18","21","9226"
"393","Lazio","X2014","43234","1.35","30800","39.3","83.1","7.3","485","12.5","348.1","18.5","23.3","9263"
"394","Lazio","X2015","46034","1.32","31600","38.9","82.7","7.2","497","11.8","348.6","20.5","23.3","14469"
"395","Lazio","X2016","46936","1.33","32900","38.4","83.2","9.5","498","11.1","348.8","21.8","23.1","16631"
"396","Lazio","X2017","46692","1.27","33200","39.9","83","8","498","10.7","347.8","20.1","24.9","18596"
"397","Liguria","X2009","1119","1.36","29100","37.9","81.7","1.6","375","5.8","295.8","10.4","18.6","3995"
"398","Liguria","X2010","1272","1.37","29000","36.9","82.1","2.7","375","6.6","295.6","11.1","18.4","4141"
"399","Liguria","X2011","1394","1.34","29700","36.3","82.1","6.8","375","6.4","294.7","12","17.9","4144"
"400","Liguria","X2012","1369","1.4","29700","36","82.3","8.6","375","8.1","293.9","14.3","18.8","4184"
"401","Liguria","X2013","1295","1.34","29000","36.9","82.5","8.1","375","9.8","291.5","15.6","20","4182"
"402","Liguria","X2014","1259","1.33","29700","36.2","83.3","12.7","375","10.8","297.9","16.6","19.3","4271"
"403","Liguria","X2015","1354","1.3","30900","36","82.7","11.6","375","9.2","295.9","15.9","19.7","4353"
"404","Liguria","X2016","1261","1.3","31600","36.3","83.6","7.9","375","9.7","294.2","14.8","19.6","4485"
"405","Liguria","X2017","1241","1.28","32000","37","83.2","8.6","375","9.5","288.7","13.7","19.6","4938"
"406","Limburg (NL)","X2009","138","1.65",NA,"39.4","80.6",NA,"219","5.6","522",NA,"26.1","734"
"407","Limburg (NL)","X2010","232","1.64",NA,"41","80.5",NA,"216","5.6","522",NA,"25.5","734"
"408","Limburg (NL)","X2011","337","1.59",NA,"41.5","81",NA,"216","4.8","522",NA,"25.5","733"
"409","Limburg (NL)","X2012","309","1.56",NA,"41.6","80.8",NA,"213","5.4","522.2",NA,"26.1","715"
"410","Limburg (NL)","X2013","433","1.55",NA,"41.6","81.1",NA,"213","7.4","521.4",NA,"27.4","927"
"411","Limburg (NL)","X2014","244","1.51",NA,"41.1","81.6",NA,"213","7.4","521.2",NA,"27.1","937"
"412","Limburg (NL)","X2015","198","1.49","32400","42.7","81",NA,"212","6.3","520.3",NA,"29.4","912"
"413","Limburg (NL)","X2016","180","1.53","32900","43.3","81.5","2","212","5.7","517.8","12.5","29.3","902"
"414","Limburg (NL)","X2017","171","1.48","34000","44.2","81.5","1.9","216","4.7","518","12.8","30.9","912"
"415","Lombardia","X2009","32984","1.57","33800","36.4","82.2","4.7","587","5.3","419.9","10.3","15.5","6065"
"416","Lombardia","X2010","34826","1.57","35200","36.3","82.6","3.2","589","5.5","422.5","10.7","15.9","6376"
"417","Lombardia","X2011","36587","1.53","35900","37.5","83","6.3","589","5.7","424.7","9.5","15.9","6618"
"418","Lombardia","X2012","36400","1.52","35600","37.5","82.8","10.5","604","7.4","427.5","9.1","16.5","7039"
"419","Lombardia","X2013","35725","1.48","34500","37.4","83.5","9.2","621","8","414.2","8.4","17.2","7346"
"420","Lombardia","X2014","36400","1.46","35100","37.3","83.9","8.5","679","8.2","438.1","9","17.9","7865"
"421","Lombardia","X2015","38483","1.44","36600","38.7","83.2","6.4","706","7.9","438.8","11.1","19.3","8532"
"422","Lombardia","X2016","40116","1.42","37600","38.7","84","6.1","708","7.4","439.2","13.3","19.3","10126"
"423","Lombardia","X2017","43879","1.39","38500","40","83.8","6.4","708","6.4","435.1","13.6","20.4","12225"
"424","Luxembourg","X2009","1535","1.59","62500","53.8","80.8","1.1","152","5.1","192.5","14.9","34.8","485"
"425","Luxembourg","X2010","1614","1.63","65400","54.5","80.8","0.5","152","4.4","196","14.5","35.5","500"
"426","Luxembourg","X2011","1837","1.52","69300","55.4","81.1","1.2","152","4.9","200.4","13.6","37","492"
"427","Luxembourg","X2012","1894","1.57","69200","57","81.5","1.3","152","5.1","205.3","15.1","39.1","480"
"428","Luxembourg","X2013","2169","1.55","70000","59.2","81.9","1.8","152","5.8","210.1","15.9","40.7","457"
"429","Luxembourg","X2014","2434","1.5","74400","62.4","82.3","1.4","152","5.9","215.1","16.4","45.9","434"
"430","Luxembourg","X2015","2652","1.47","77300","56.2","82.4","2","161","6.7","220.3","15.3","41.1","431"
"431","Luxembourg","X2016","2984","1.41","76200","57.2","82.7","1.6","161","6.3","225.1","16.5","42.6","432"
"432","Luxembourg","X2017","3555","1.39","75900","55.4","82.1","1.2","165","5.5","230.6","18.7","39.9","425"
"433","Malta","X2009","2919","1.42","19800","31.3","80.4","5",NA,"6.9","1305.3","14.9","13.9","165"
"434","Malta","X2010","3294","1.36","21200","31.3","81.5","6.5",NA,"6.8","1311.7","15.5","14.9","160"
"435","Malta","X2011","3507","1.45","21500","33.9","80.9","6.6",NA,"6.4","1317.3","15.6","16.2","157"
"436","Malta","X2012","3650","1.42","22200","36","80.9","9.2",NA,"6.2","1329.2","15.1","17.8","158"
"437","Malta","X2013","4032","1.36","22800","37.4","81.9","10.2",NA,"6.1","1348","15.8","19.6","170"
"438","Malta","X2014","4290","1.38","24500","37.9","82.1","10.3",NA,"5.7","1375.2","15.8","21.2","166"
"439","Malta","X2015","4620","1.37","27100","38.7","82","8.5",NA,"5.4","1408.4","16.6","21.6","178"
"440","Malta","X2016","5080","1.37","27800","39.1","82.6","4.4",NA,"4.7","1450.2","16.5","22.1","184"
"441","Malta","X2017","6008","1.26","29200","41.4","82.4","3.3",NA,"4","1495.2","16.7","23.9","203"
"442","Marche","X2009","420","1.44","25400","29.8","83","4","168","6.6","164.2","11","15.3","2832"
"443","Marche","X2010","504","1.42","25500","30","83.5","4.9","168","5.7","164.5","12.9","16.1","3587"
"444","Marche","X2011","597","1.42","26000","31.5","83.5","10.6","168","6.8","164.6","13.1","15.4","3744"
"445","Marche","X2012","553","1.38","25800","33.5","83.4","10.5","168","9.1","164.7","14.6","16.8","3954"
"446","Marche","X2013","494","1.34","25100","34","83.6","9.4","168","10.9","164.8","12.7","18.3","4187"
"447","Marche","X2014","472","1.35","25800","33.5","84","9.5","168","10.1","165.1","12.2","18.6","4352"
"448","Marche","X2015","515","1.33","26600","33.1","83.3","10.8","168","9.9","164.6","13.9","18.5","4549"
"449","Marche","X2016","477","1.32","27200","33.7","84","9.4","168","10.6","163.9","16","19.2","4806"
"450","Marche","X2017","477","1.25","27200","34.3","83.6","11","168","10.6","163.5","15.8","20.7","4652"
"451","Mellersta Norrland","X2009","580","1.95","27100","40.3","80.6","2.2","15","8.9","5.2","14.4","29.1","414"
"452","Mellersta Norrland","X2010","612","2.05","29500","40.7","80.7","1.3","15","10.3","5.2","11.2","29.7","414"
"453","Mellersta Norrland","X2011","660","1.96","29400","40.7","80.7","0.7","15","8.8","5.2","16.5","29.3","404"
"454","Mellersta Norrland","X2012","666","1.88","30000","41.2","81.2","0.7","15","8.4","5.2","18.5","28.9","413"
"455","Mellersta Norrland","X2013","681","1.87","29400","42.8","80.9","1.4","15","7.2","5.2","18.4","30.5","427"
"456","Mellersta Norrland","X2014","740","1.9","29700","43.1","81.1","0","29","7.4","5.2","21.9","31.1","419"
"457","Mellersta Norrland","X2015","737","1.94","30800","44.5","80.9","0.3","29","7.1","5.3","12.4","32","406"
"458","Mellersta Norrland","X2016","777","1.91","30000","44.9","81.7","0","29","6.8","5.3","21.9","33","402"
"459","Mellersta Norrland","X2017","822","1.9","30600","47.5","81.4","0.7","29","6.2","5.3","15.3","33.7","404"
"460","Midtjylland","X2009","689","1.91","28500","41.4","79.7","2","197","5.8","95.3","13.3","31.1","211"
"461","Midtjylland","X2010","869","1.92","29300","41.9","80.1","3.1","197","7.2","95.8","13.3","31.6","218"
"462","Midtjylland","X2011","880","1.85","30400","41.6","80.7","2","200","6.7","97.2","12.1","30.1","235"
"463","Midtjylland","X2012","638","1.78","30200","42.8","80.7","2","215","6.8","97.7","13","31.3","230"
"464","Midtjylland","X2013","588","1.72","30600","44.3","80.9","4","223","6.5","98","14.8","33.5","228"
"465","Midtjylland","X2014","545","1.74","31400","45","81.2","2.3","241","6.1","98.4","11.7","33.3","233"
"466","Midtjylland","X2015","498","1.77","32300","45.6","81.3","5","242","5.6","99","11.8","34.6","230"
"467","Midtjylland","X2016","535","1.87","33100","45.7","81.5","2.5","259","5.5","101.7","10.4","36.3","236"
"468","Midtjylland","X2017","515","1.83","34400","47.4","81.6","2.9","306","5.3","102.5","11.2","36.9","245"
"469","Moravskoslezsko","X2009","270","1.49","17000","33.5","76.2","8.5","54","9.7","233.6","12.1","14.1","447"
"470","Moravskoslezsko","X2010","244","1.5","17500","34.1","76.4","10.2","54","10.2","232.8","11.9","15.4","405"
"471","Moravskoslezsko","X2011","246","1.38","18600","31.3","76.5","10.2","54","9.3","232","15.1","15.4","464"
"472","Moravskoslezsko","X2012","246","1.41","18900","30.7","77","9.3","60","9.5","231.3","14.7","16.2","628"
"473","Moravskoslezsko","X2013","229","1.41","18600","32.2","77.1","10.6","60","9.9","230.5","15.3","17.6","618"
"474","Moravskoslezsko","X2014","266","1.49","20000","32.4","77.6","11.9","60","8.6","229.6","16","16.7","569"
"475","Moravskoslezsko","X2015","280","1.5","21000","33.2","77.5","9.5","60","8.1","228.9","16.9","18.8","576"
"476","Moravskoslezsko","X2016","237","1.56","21300","34.2","78","9.8","100","6.9","228","17.4","19.8","572"
"477","Moravskoslezsko","X2017","312","1.6","22100","37.2","77.8","6.6","100","4.7","227.3","14.1","21.6","578"
"478","Noord-Brabant","X2009","1745","1.78",NA,"42.1","80.8",NA,"483","4","496.2",NA,"28.5","749"
"479","Noord-Brabant","X2010","2190","1.79",NA,"42.2","81.1",NA,"490","4.7","498.2",NA,"29.3","746"
"480","Noord-Brabant","X2011","2670","1.76",NA,"43.5","81.3",NA,"489","4.6","500.1",NA,"30","762"
"481","Noord-Brabant","X2012","3009","1.7",NA,"44.6","81.3",NA,"489","5.3","502.1",NA,"31.6","742"
"482","Noord-Brabant","X2013","3430","1.66",NA,"45.1","81.5",NA,"489","6.7","503.7",NA,"32.2","993"
"483","Noord-Brabant","X2014","3961","1.7",NA,"45.3","81.7",NA,"492","7","506.4",NA,"33.2","996"
"484","Noord-Brabant","X2015","4378","1.64","37800","45.8","81.5",NA,"505","6.5","508.4",NA,"33.2","1005"
"485","Noord-Brabant","X2016","4784","1.66","37500","46.4","81.6","2","504","5.3","505.1","10.7","34.4","996"
"486","Noord-Brabant","X2017","5705","1.61","38800","46.6","81.7","2.5","504","4.2","508","11.4","34.4","1001"
"487","Noord-Holland","X2009","43532","1.71",NA,"51.4","81",NA,"283","4.1","995",NA,"37.3","1025"
"488","Noord-Holland","X2010","45146","1.72",NA,"52.7","81.3",NA,"283","4.7","1003.5",NA,"38.7","1027"
"489","Noord-Holland","X2011","49690","1.65",NA,"52.8","81.4",NA,"282","5","1011.1",NA,"38.6","1012"
"490","Noord-Holland","X2012","50988","1.62",NA,"52.3","81.2",NA,"284","5.4","1019.4",NA,"38.5","1007"
"491","Noord-Holland","X2013","52543","1.59",NA,"52.1","81.5",NA,"290","7.2","1025.3",NA,"39.2","1321"
"492","Noord-Holland","X2014","54957","1.62",NA,"53.5","81.8",NA,"296","6.9","1032.9",NA,"40.8","1309"
"493","Noord-Holland","X2015","58168","1.57","49000","54","81.6",NA,"296","6.2","1041.1",NA,"41.6","1293"
"494","Noord-Holland","X2016","63550","1.57","49100","56","81.6","4.5","295","5.5","1016","13.3","42.9","1326"
"495","Noord-Holland","X2017","68422","1.52","50300","56.6","82","4.3","297","4.5","1024.5","13","44.4","1340"
"496","Nord-Est","X2009",NA,"1.48","7400","17","73.4","3.5","0","6","102.9","9.7","11.2","548"
"497","Nord-Est","X2010",NA,"1.41","7600","16.8","73.3","3.8","0","5.5","102.7","9.7","11.6","554"
"498","Nord-Est","X2011","294","1.52","7400","17.4","74.3","5.1","0","4.7","102.5","9.9","12.2","604"
"499","Nord-Est","X2012","394","1.9","9000","17.9","73.8","5.7","0","4.2","91","10.6","12.6","659"
"500","Nord-Est","X2013","536","1.8","9100","16.5","74.6","6","0","4.4","90.7","10.4","11.9","687"
"501","Nord-Est","X2014","576","1.92","9300","17","74.3","5.8","0","4.2","90.6","10.4","12","709"
"502","Nord-Est","X2015","745","2.01","9900","15.1","74.3","4.8","0","3.6","90.4","9.9","11.6","806"
"503","Nord-Est","X2016","1295","1.95","10600","15.8","74.6","5.8","0","3","89.9","10.5","11.5","816"
"504","Nord-Est","X2017","1570","2.02","11600","16.3","74.6","5","0","2.9","88.5","10.2","12.1","860"
"505","Nord-Norge","X2009","3874","2.02","27800","39.9","80.7","2.1","0","3.7","4.3","11.3","32.6","349"
"506","Nord-Norge","X2010","3983","1.96","29800","40.4","80.7","2.3","0","3.8","4.4","12.9","33.4","352"
"507","Nord-Norge","X2011","4217","1.89","30000","42.3","80.6","1.6","0","3.5","4.4","11.8","33.5","346"
"508","Nord-Norge","X2012","4374","1.84","31300","41.7","80.9","1.6","0","3.3","4.4","10.7","32.1","328"
"509","Nord-Norge","X2013","4508","1.81","32400","44.1","81.1","2.2","0","3.2","4.5","12.1","35.2","445"
"510","Nord-Norge","X2014","4676","1.71","33400","47.9","81.7","0.7",NA,"3.3","4.5","12.6","38.9","436"
"511","Nord-Norge","X2015","5051","1.74","32900","49.1","82.3","1.7","0","3.4","4.5","12.7","38.7","413"
"512","Nord-Norge","X2016","5205","1.68","33800","49.2","81.9","1.3","0","3.2","4.4","10","39.5","410"
"513","Nord-Norge","X2017","5449","1.59",NA,"48.2","82.1","1.8","0","3.2","4.5","13.5","39.2","404"
"514","Nord-Vest","X2009","860","1.37","10900","22.2","73","24.3","41","5.6","80.8","18.5","12.1","645"
"515","Nord-Vest","X2010","1089","1.34","11100","21.5","73.5","21.8","52","6.5","80.7","15.8","12.6","658"
"516","Nord-Vest","X2011","1005","1.34","11000","21.6","74.1","24.2","52","5.1","80.6","20.6","13","649"
"517","Nord-Vest","X2012","928","1.48","12500","21","74.1","22.7","52","4.6","77.1","17.4","13.7","645"
"518","Nord-Vest","X2013","1035","1.38","12600","21.3","74.8","21.9","52","4.1","77","17.1","14.2","659"
"519","Nord-Vest","X2014","1179","1.5","13400","22.2","74.8","18","52","3.8","76.8","20.4","14.2","638"
"520","Nord-Vest","X2015","1486","1.56","14300","26.7","74.6","16.5","52","4.6","76.6","19.2","17.4","742"
"521","Nord-Vest","X2016","1880","1.59","15700","25.9","75.3","17.6","52","4.3","76.4","17.1","17.4","800"
"522","Nord-Vest","X2017","2678","1.66","16900","25","75.2","11.9","52","3.6","75.4","19","17.1","934"
"523","Nordjylland","X2009","1117","1.93","26700","38.8","78.9","1.3","187","6.9","73.1","14.9","29.2","184"
"524","Nordjylland","X2010","1323","1.93","27700","38.8","79.5","1.6","187","7.4","73.1","12.9","28.1","184"
"525","Nordjylland","X2011","1378","1.82","28100","38.3","80","0.3","187","8","73.7","10.6","28.1","189"
"526","Nordjylland","X2012","1301","1.83","28600","39.5","80.2","2.8","187","7.9","73.7","9.7","29.4","187"
"527","Nordjylland","X2013","1381","1.7","29000","38.4","80.1","3.4","187","6.4","73.7","16.8","27.8","185"
"528","Nordjylland","X2014","1377","1.73","29500","38.3","80.9","3.1","187","6.4","73.8","12.6","27.3","193"
"529","Nordjylland","X2015","1417","1.77","31000","40.1","80.6","3.9","187","6.3","74.1","14.3","29.3","192"
"530","Nordjylland","X2016","1493","1.84","31200","40.7","80.5","2.5","186","6.2","76","12.1","30.6","193"
"531","Nordjylland","X2017","1493","1.81","32800","43.6","81.3","1.9","186","5.4","76.2","13.9","31.7","198"
"532","Norra Mellansverige","X2009","85","1.94","24500","37","80.6","1.4","89","9.4","12.9","16.1","25.3","609"
"533","Norra Mellansverige","X2010","82","1.99","26300","37.5","81.1","1.3","89","9","12.9","17","26.4","611"
"534","Norra Mellansverige","X2011","109","1.92","26900","37.6","81.5","0.8","62","8.8","12.9","17.6","27.3","620"
"535","Norra Mellansverige","X2012","100","1.96","27700","38.9","81.1","0.3","62","8.6","13","17.7","27.3","612"
"536","Norra Mellansverige","X2013","110","1.87","27300","40.1","81.6","0","62","8.8","13","18.9","27.4","612"
"537","Norra Mellansverige","X2014",NA,"1.92","27700","40.9","81.7","0.5","62","8.6","13.1","20","28.3","637"
"538","Norra Mellansverige","X2015",NA,"1.91","28900","42.7","81.2","0.7","61","7.9","13.1","17.5","30.6","614"
"539","Norra Mellansverige","X2016",NA,"1.92","28700","45.7","81.8","0.6","61","7.5","13.3","14.2","32.6","603"
"540","Norra Mellansverige","X2017",NA,"1.89","29200","45.9","82","1.3","63","6.9","13.4","18.6","33.3","610"
"541","Oslo og Akershus","X2009","18183","1.88","45200","58.7","81.3","2.5","119","3.6","220.6","12.9","47.4","105"
"542","Oslo og Akershus","X2010","19137","1.87","47200","58.6","81.5","2.8","128","4","224.7","9.7","47.9","111"
"543","Oslo og Akershus","X2011","21103","1.8","47900","61","81.8","3.4","133","3.4","229.3","11.1","48.8","113"
"544","Oslo og Akershus","X2012","22176","1.78","51100","62.5","81.8","1.9","144","3.2","235.8","10.4","50.1","114"
"545","Oslo og Akershus","X2013","23035","1.69","51800","63.2","82.3","2.8","166","3.9","239.8","11","51","137"
"546","Oslo og Akershus","X2014","24129","1.64","52300","65.4","82.7","1.5",NA,"3.8","244","9.4","53.4","137"
"547","Oslo og Akershus","X2015","24554","1.64","50800","65.3","81.3","2.5","181","4.7","248.2","11.5","53.5","132"
"548","Oslo og Akershus","X2016","25664","1.63","49700","65.4","83","2.4","181","4.6","249","12.9","53.4","134"
"549","Oslo og Akershus","X2017","27346","1.54",NA,"66.3","83.2","2.8","174","4.6","252.5","11.9","54.3","131"
"550","Östra Mellansverige","X2009","2699","1.9","26000","41.8","81.2","1.4","565","9.3","40.2","15.5","30.3","549"
"551","Östra Mellansverige","X2010","2658","1.96","27600","41.7","81.8","2.8","585","9.7","40.5","15.3","30.7","550"
"552","Östra Mellansverige","X2011","2726","1.89","28800","43.1","81.8","1.9","582","8.4","40.8","16.5","31.5","568"
"553","Östra Mellansverige","X2012","2476","1.93","29600","45.1","81.7","1.7","580","8.6","41.2","17","33.1","580"
"554","Östra Mellansverige","X2013","2325","1.88","29300","46.4","81.8","2.1","579","8.8","41.6","15.6","35.1","592"
"555","Östra Mellansverige","X2014","1870","1.88","29600","48","82.5","0.3","590","8.3","42","15.2","36.6","583"
"556","Östra Mellansverige","X2015","2021","1.86","31000","49.8","82.4","1.2","589","7.9","42.4","18.8","36.8","566"
"557","Östra Mellansverige","X2016","2278","1.86","30600","51.1","82.3","1.1","589","7.7","43","16.9","38","555"
"558","Östra Mellansverige","X2017","2375","1.8","31400","51.5","82.4","1.2","589","7.6","43.6","15.5","39.2","573"
"559","Övre Norrland","X2009","2151","1.88","26400","40.5","81.1","3.3","6","8.9","3.3","18.1","30","425"
"560","Övre Norrland","X2010","2240","1.88","31400","42.2","81.1","0.5","6","9.5","3.3","15.4","31.5","422"
"561","Övre Norrland","X2011","2444","1.89","32200","43.6","81.1","1.9","6","8","3.3","14.3","33.1","417"
"562","Övre Norrland","X2012","2548","1.8","32800","43.9","81","1.3","6","7.7","3.3","17.8","33.9","410"
"563","Övre Norrland","X2013","2604","1.86","31800","45.3","81.1","0.7","6","7.2","3.4","13","35.4","422"
"564","Övre Norrland","X2014","2761","1.79","31700","47","81.5","0.7","6","7.4","3.4","11.3","37","428"
"565","Övre Norrland","X2015","2780","1.79","32700","48.2","81.4","1.8","6","7.2","3.4","17.9","37.3","419"
"566","Övre Norrland","X2016","2794","1.82","32100","48.9","81.8","0","6","5.8","3.4","15.8","37.6","429"
"567","Övre Norrland","X2017","2959","1.73","33400","49.1","81.9","0.7","6","5.9","3.4","15.1","38.2","440"
"568","País Vasco","X2009","3984","1.29","31600","52.7","82.3","3.4","529","11.3","302.4","10","43.3","852"
"569","País Vasco","X2010","4194","1.33","31700","52.9","82.8","2.1","535","10.7","303","11.7","43.7","1025"
"570","País Vasco","X2011","4301","1.35","31500","52.4","82.9","4","552","12.4","303.4","13.8","44.5","1064"
"571","País Vasco","X2012","4437","1.35","31800","53.7","83.1","2.1","533","15.6","302.9","13.3","46","1067"
"572","País Vasco","X2013","4034","1.3","31400","54.2","83.7","4.8","533","16.6","301.7","10.5","46.8","1064"
"573","País Vasco","X2014","4227","1.38","32800","54","83.9","4.8","474","16.3","299.6","10.2","47","1119"
"574","País Vasco","X2015","4517","1.39","34600","54.5","83.5","4.6","488","14.8","301.3","10.9","47.8","1153"
"575","País Vasco","X2016","4874","1.39","35100","56","83.9","4.2","496","12.6","301.2","9","48.6","1182"
