geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
Hamburg,9,,7.1,,7.2,,7,(b),5.3,(b),5.3,,4.7,,5,,4.3,,4.1,,4.2,,4.1,
Darmstadt,7.2,,6.1,,6.3,,5.8,(b),4.7,(b),4.8,,4.3,,4.5,,4.1,,4,,3.5,,3.1,
Gießen,7.2,,6.6,,6.7,,6,(b),5.1,(b),5,,4.5,,4.5,,3.8,,4,,3.6,,3.6,
Kassel,8,,7.5,,6.6,,6,(b),4.4,(b),4.5,,4.3,,4.4,,3.6,,3.7,,2.5,,2.9,
Mecklenburg-Vorpommern,17.5,,14.7,,13.9,,12.3,(b),10.1,(b),10.8,,10,,9.6,,7.8,,6.3,,5.1,,4.8,
Braunschweig,8.9,,8.7,,8.5,,7.1,(b),6.2,(b),5.5,,6.2,,5.5,,4.9,,4.6,,4.4,,4,
Hannover,8.4,,7.6,,7.9,,7,(b),6.7,(b),5.4,,5.4,,5.2,,4.7,,4.7,,4.5,,4.1,
Lüneburg,7.4,,6.3,,5.4,,5.7,(b),5.3,(b),4.4,,4.3,,4,,3.5,,3.3,,3.4,,2.4,
Weser-Ems,7.1,,6.2,,5.9,,5.9,(b),4.2,(b),4.3,,4,,4.1,,3.9,,3.6,,3,,2.7,
Düsseldorf,8.6,,7.4,,7.7,,7.6,(b),6.7,(b),6.5,,6.3,,6.3,,5.9,,4.9,,4.3,,4.3,
Köln,7.7,,7,,7.1,,7,(b),6,(b),5.4,,5.8,,5.3,,4.8,,3.9,,3.7,,3.6,
Münster,7.3,,6.4,,7.3,,6.6,(b),5.3,(b),4.9,,5.1,,4.9,,4.4,,4.3,,3.9,,3.6,
Detmold,8.1,,7.2,,7.7,,7,(b),5.5,(b),4.7,,5,,5,,4.7,,4.1,,3.9,,3.2,
Arnsberg,9.7,,8.7,,9.2,,8.2,(b),7.1,(b),6.6,,6.5,,5.7,,5.7,,5,,4.6,,4,
Koblenz,6.3,,5.8,,6.7,,5.1,(b),4.4,(b),4,,3.8,,4,,3.4,,3.4,,3.1,,2.7,
Trier,5.3,,5.2,,4.6,,4.1,(b),4.1,(b),2.7,,3,,3,,2.9,,2.7,,2,,2.5,
Rheinhessen-Pfalz,5.9,,5.7,,5.8,,6,(b),5.2,(b),4.3,,4.4,,3.9,,4.1,,4.1,,3.8,,3.5,
Saarland,7.3,,7.1,,8.4,,6.9,(b),5.8,(b),6.2,,5.9,,5.8,,5.6,,4.8,,4.5,,3.6,
Dresden,13.4,,12.3,,12,,10.3,(b),8.6,(b),7.5,,7.2,,7.4,,6.2,,4.9,,4.3,,4,
Chemnitz,13.9,,12.7,,12.5,,11.5,(b),8.8,(b),7.9,,7.4,,6.3,,5.4,,4.4,,4.1,,3.4,
Leipzig,17.3,,14.3,,13.1,,12.1,(b),11.1,(b),9.5,,9.2,,8.3,,7.7,,6,,5.1,,4.7,
Sachsen-Anhalt,15.7,,14.5,,13.7,,11.4,(b),10.4,(b),9.5,,9.1,,8.8,,8,,7.4,,6.9,,5.3,
Schleswig-Holstein,8,,6.8,,7.3,,6.6,(b),5.8,(b),5,,4.9,,4.6,,4.2,,4,,3.6,,3.1,
Thüringen,13.8,,10.7,,10.7,,8.6,(b),7.6,(b),7.2,,6,,6,,5.8,,5.1,,4.4,,4.1,
Eesti,4.6,,5.5,,13.5,,16.7,,12.3,,10,,8.6,,7.4,,6.2,,6.8,,5.8,,5.4,
Northern and Western,:,,:,,:,,:,,:,,15.7,,13.1,,11.5,,10,,8.5,,6.2,(b),5.6,
Southern,:,,:,,:,,:,,:,,16.6,,14.3,,12.6,,10.6,,8.6,,7,(b),6.1,
Eastern and Midland,:,,:,,:,,:,,:,,14.6,,13.6,,11.5,,9.4,,8.2,,6.7,(b),5.6,
"Border, Midland and Western (NUTS 2013)",4.9,(b),7.4,,13.4,,14.6,,16.1,,:,,:,,:,,:,,:,,:,,:,
