CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2016 Score;Change in Yearly Score from 2015;Property Rights;Change in Property Rights from 2015;Freedom from Corruption;Change in Freedom from Corruption from 2015;Fiscal Freedom ;Change in Fiscal Freedom from 2015;Gov't Spending;Change in Gov't Spending from 2015;Business Freedom;Change in Business Freedom from 2015;Labor Freedom;Change in Labor Freedom from 2015;Monetary Freedom;Change in Monetary Freedom from 2015;Trade Freedom;Change in Trade Freedom from 2015;Investment Freedom ;Change in Investment Freedom from 2015;Financial Freedom;Change in Financial Freedom from 2015;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Country;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
170;Turkmenistan;Turkmenistan;Asia-Pacific;174;41;41,9;0,5;5;0;17;0;95,3;1,3;92,2;-1,3;30;0;20;0;69,4;5,2;80;0;0;0;10;0;0;10;8;17,4;16,1;Turkmenistan;5,8;$82,1 ;10,3;11,1;$14.165;10,5;6;3.163,50;16,8
171;Uganda;Uganda;Sub-Saharan Africa;102;13;59,3;-0,4;25;0;26;0;73,2;-0,1;91,5;2,5;40,3;-3;83,7;-3,8;80,1;3,8;72,8;-3,8;60;0;40;0;8,6;40;30;13,4;16,8;Uganda;38;$76,9 ;4,9;5,2;$2.023;3,8;4,7;1.146,60;30,4
172;Ukraine;Ukraine;Europe;162;44;46,8;-0,1;25;5;26;1;78,6;-0,1;30,6;2,6;56,8;-2,5;47,9;-0,3;66,9;-11,7;85,8;0;20;5;30;0;2,1;20;18;37,6;48,1;Ukraine;42,8;$370,8 ;-6,8;-0,2;$8.668;7,7;12,1;410;71,2
173;United Arab Emirates;UnitedArabEmirates;Middle East / North Africa;25;2;72,6;0,2;55;0;70;1;95;-4,5;76,1;-9,7;79,6;4,9;80,7;-3,1;81,3;-2,5;82,8;0,4;45;5;60;10;3,6;0;0;22,4;28,2;United Arab Emirates;9,3;$599,8 ;3,6;4;$64.479;3,6;2,3;10.065,80;12,1
174;United Kingdom;UnitedKingdom;Europe;10;4;76,4;0,6;90;0;78;2;64,9;2;39;8,7;86;-5,1;71,8;-3,8;76,4;2;88;0;90;0;80;0;1;45;20;32,9;45,1;United Kingdom;64,5;$2.548,9 ;2,6;1,7;$39.511;6,3;1,5;72.241,00;89,5
175;United States;UnitedStates;North America;11;2;75,4;-0,8;80;0;74;1;65,6;-0,6;54,7;2,9;84,7;-4,1;91,4;-7,1;77;0,4;87;0;70;0;70;0;1,5;39,6;35;25,4;38,9;United States;319;$17.418,9 ;2,4;2,2;$54.597;6,2;1,6;92.397,00;104,8
176;Uruguay;Uruguay;South and Central America / Caribbean;41;6;68,8;0,2;70;0;73;0;77,2;0,1;67,6;2,5;75,3;2,7;62,5;-1,8;71,3;-0,3;80,6;-1,2;80;0;30;0;4,7;30;25;27,4;32,9;Uruguay;3,4;$70,0 ;3,3;5,4;$20.556;7;8,9;2.754,50;62,8
177;Uzbekistan;Uzbekistan;Asia-Pacific;166;39;46;-1;15;0;18;1;90,4;0,2;66,6;-0,7;67,1;-6;61,9;-2,3;65,6;2,1;65,6;-4,2;0;0;10;0;7,2;22;9;19,9;33,4;Uzbekistan;30,6;$171,7 ;8,1;8,2;$5.609;10,6;8,4;751,4;8,5
178;Vanuatu;Vanuatu;Asia-Pacific;89;15;60,8;-0,3;40;0;33,5;0;97;-0,2;86,1;2,3;51,8;0,3;47,7;1,3;78,3;-4,6;74;-1,4;60;0;40;0;5,5;0;0;17,2;21,5;Vanuatu;0,3;$0,7 ;2,9;1,9;$2.608;;1;-22,3;18,5
179;Venezuela;Venezuela;South and Central America / Caribbean;176;28;33,7;-0,6;5;0;19;-1;74,9;-0,1;56,7;4,7;45,3;3,7;29,5;5,3;33,8;-9;63,2;0,4;0;0;10;-10;8,4;34;34;13,9;38;Venezuela;30,5;$538,9 ;-4;1,1;$17.695;8,6;62,2;320;45,6
180;Vietnam;Vietnam;Asia-Pacific;131;27;54;2,3;15;0;31;0;79,3;0,2;75,1;-2;58,3;-3,2;62,6;-0,3;70,6;3,8;83;4,4;25;10;40;10;3,5;35;22;18,9;28,8;Vietnam;90,6;$510,7 ;6;5,9;$5.635;2,3;4,1;9.200,00;58,7
181;Yemen;Yemen;Middle East / North Africa;;;;;30;0;19;1;;;;;51,9;-2,1;54,4;-2,7;71;2,5;;N/;;;30;0;;20;20;;30,8;Yemen;27,5;$103,6 ;-0,2;0,4;$3.774;17,4;8,2;-577,6;48,9
182;Zambia;Zambia;Sub-Saharan Africa;106;16;58,8;0,1;30;0;38;0;73,3;1,4;81,1;3,1;66,4;-1,8;48,3;2,3;72,6;-0,6;78,2;1,4;50;-5;50;0;3,4;35;35;14,7;25,1;Zambia;15;$61,0 ;5,4;7,1;$4.064;13,3;7,9;2.483,80;31,1
183;Zimbabwe;Zimbabwe;Sub-Saharan Africa;175;46;38,2;0,6;10;0;21;0;60,8;-5,8;73,6;-0,6;37,6;0,5;30;6,3;79,1;3,7;50,2;-8,2;10;10;10;0;14,9;51,5;25;25,3;29,7;Zimbabwe;13,3;$27,1 ;3,2;8,3;$2.046;5,4;-0,2;544,8;54
184;Somalia;Somalia;Sub-Saharan Africa;;;;;;;8;0;;;;;;;;;;;;;;;;;;;;;;Somalia;10,5;;3,7;;$600 ;;;;
185;Kosovo;Kosovo;Europe;84;35;61,4;;30;0;33;0;93,6;;76,8;2,9;69,3;2,5;66,3;-5,8;78,9;4;70,8;;65;0;30;;7,1;10;10;21;27,8;Kosovo;1,87;$16,9 ;2,7;3,3;$9.037 ;30;0,4;;19,1
186;Brunei Darussalam;Brunei ;Asia-Pacific;51;10;67,3;-1,6;30;-5;60;0;87;0;57,3;-6,3;71,3;3;90,2;0,2;76,8;0,2;85,2;3,4;65;-5;50;0;2,4;0;20;30;37,7;Brunei;0,4;$30,2 ;-0,7;0,9;$73.233;3,8;-0,2;567,9;2,6
