CountryID;Country Name;WEBNAME;Region;World Rank;Region Rank;2016 Score;Change in Yearly Score from 2015;Property Rights;Change in Property Rights from 2015;Freedom from Corruption;Change in Freedom from Corruption from 2015;Fiscal Freedom ;Change in Fiscal Freedom from 2015;Gov't Spending;Change in Gov't Spending from 2015;Business Freedom;Change in Business Freedom from 2015;Labor Freedom;Change in Labor Freedom from 2015;Monetary Freedom;Change in Monetary Freedom from 2015;Trade Freedom;Change in Trade Freedom from 2015;Investment Freedom ;Change in Investment Freedom from 2015;Financial Freedom;Change in Financial Freedom from 2015;Tariff Rate (%);Income Tax Rate (%);Corporate Tax Rate (%);Tax Burden % of GDP;Gov't Expenditure % of GDP ;Country;Population (Millions);GDP (Billions, PPP);GDP Growth Rate (%);5 Year GDP Growth Rate (%);GDP per Capita (PPP);Unemployment (%);Inflation (%);FDI Inflow (Millions);Public Debt (% of GDP)
28;Cameroon;Cameroon;Sub-Saharan Africa;130;27;54,2;2,3;25;0;27;2;75,6;3,9;85,6;-2,2;46,9;5,3;48,9;1,1;81,2;5,6;61,6;2;40;5;50;0;11,7;35;33;11,3;21,9;Cameroon;22,5;$67,2 ;5,1;4,5;$2.981;4,3;1,9;501,2;23,9
29;Canada;Canada;North America;6;1;78;-1,1;90;0;81;0;80;0,1;50,4;2,1;81,8;-7,2;72,6;-3,5;76,9;-1;87;-1,4;80;0;80;0;1,5;29;15;30,6;40,7;Canada;35,5;$1.591,6 ;2,5;2,6;$44.843;6,9;1,9;53.864,00;86,5
30;Cabo Verde;CaboVerde;Sub-Saharan Africa;57;3;66,5;0,1;75;0;57;-1;78,1;-0,2;66,9;-1;61,3;-0,5;43,6;1,5;84,5;3,5;68,2;-1,4;70;0;60;0;10,9;35;25;18,5;33,2;Cape Verde;0,5;$3,3 ;1;1,6;$6.324;9,2;-0,2;78,1;112,2
31;Central African Republic;CentralAfricanRepublic;Sub-Saharan Africa;168;42;45,2;-0,7;10;-5;24;-1;65,7;0,7;93,6;1,6;28;0,8;40,9;3,4;62,9;-6,7;52,2;-0,2;45;0;30;0;16,4;50;30;5,2;14,7;Central African Republic;4,7;$2,9 ;1;-4,9;$607;7,4;15;3,5;41,8
32;Chad;Chad;Sub-Saharan Africa;164;41;46,3;0,4;20;0;22;3;46;-0,2;84,3;0,7;30,9;3,8;48,9;1,2;71,4;-4,2;49,8;-5,4;50;5;40;0;15,1;60;45;6,6;22,9;Chad;11,3;$29,5 ;6,9;7;$2.617;7;1,7;760,5;25
33;Chile;Chile;South and Central America / Caribbean;7;1;77,7;-0,8;85;-5;73;2;74,8;-1,7;83,1;-0,2;72,1;2,8;64,3;-2,7;82,9;-2,7;86,4;4,4;85;-5;70;0;1,8;40;22,5;20,2;23,7;Chile;17,8;$409,3 ;1,8;4,6;$22.971;6,4;4,4;22.949,20;13,9
34;China;China;Asia-Pacific;144;31;52;-0,7;20;0;36;-4;69,7;0;74,3;-7,2;54,2;2,1;62;-1;70,6;-3,6;72,8;1;30;5;30;0;3,6;45;25;19,4;29,3;China;1367,8;$17.617,3 ;7,4;8,5;$12.880;4,7;2;128.500,00;41,1
35;Colombia;Colombia;South and Central America / Caribbean;33;3;70,8;-0,9;50;0;37;1;80,1;-0,2;74,4;-1,6;78,2;-3,3;77,6;-4,1;79,6;-0,5;81;-0,2;80;0;70;0;4,5;33;25;16,5;29,2;Colombia;47,7;$640,1 ;4,6;4,8;$13.430;10,1;2,9;16.053,80;38
36;Comoros;Comoros;Sub-Saharan Africa;141;32;52,4;0,3;30;0;26;-2;64,5;0;81;2,2;49,6;2,3;51;-1;79,4;1,5;72;-1;40;0;30;0;6,5;30;50;12,1;25,2;Comoros;0,8;$1,2 ;3,3;2,8;$1.548;6,5;2,9;14;20
37;Congo, Democratic Republic of the Congo;DemcoraticRepublicCongo;Sub-Saharan Africa;163;40;46,4;1,4;10;0;22;0;73,3;0,4;95,2;9,5;42,8;0;41;2,6;78,5;3,4;61;-2;20;0;20;0;12;30;40;13;12,7;Democratic Republic of Congo;79,3;$55,8 ;9,1;7,7;$704;8;1;2.063,20;19,7
