Year,ISO Code,Countries,Region,HUMAN FREEDOM (Score),HUMAN FREEDOM (Rank),HUMAN FREEDOM (Quartile),Procedural Justice,Civil Justice,Criminal Justice,Rule of Law,Homicide,Homicide DATA,Disappearances,Violent Conflicts,Violent Conflicts DATA,Organised Conflicts,Terrorism Fatalities,Terrorism Fatalities DATA,Terrorism Injuries,Terrorism Injuries DATA,Disapperances, Conflicts, and Terrorism,Female Genital Mutilation,Missing Women,Inheritance Rights: Widows,Inheritance Rights: Daughters,Inheritance Rights,Women's Security & Safety,Security & Safety,Domestic Movement,Foreign Movement,Women's Movement,Movement,Establishing Religious Organizations,Operating Religious Organizations,Establishing and Operating Religious Organizations,Harassment and Physical Hostilities,Legal and Regulatory Restrictions,Religion,Association,Assembly,Establishing Political Parties,Operating Political Parties,Establishing and Operating Political Parties,Establishing Professional Organization,Operating Professional Organization,Establishing and Operating Professional Organization,Establishing Educational, Sporting and Cultural Organizations,Operating Educational, Sporting and Cultural Organizations,Establishing and Operating Educational, Sporting and Cultural Organizations,Association, Assembly, & Civil Society,Press Killed,Press Killed DATA,Press Jailed,Press Jailed DATA,Laws and Regulations that Influence Media Content,Political Pressures and Controls on Media Content,Access to Cable/Satellite,Access to Foreign Newspapers,State Control over Internet Access,Expression & Information,Legal Gender,Parental Authority: In Marriage,Parental Authority: After Divorce,Parental Rights,Male to Male Relationships,Female to Female Relationships,Same-Sex Relationships,Divorce,Identity & Relationships,PERSONAL FREEDOM (Score),PERSONAL FREEDOM (Rank),Government Consumption,Government Consumption DATA,Transfers and subsidies,Transfers and subsidies DATA,Government enterprises and investment,Government enterprises and investment DATA,Top marginal income tax rate,Top marginal income tax rate DATA,Top marginal income and payroll tax rate,Top marginal income and payroll tax rate DATA,Top marginal tax rate,Size of Government,Judicial independence,Impartial courts,Protection of property rights, Military interference in rule of law and politics,Integrity of the legal system,Legal enforcement of contracts,Regulatory restrictions on the sale of real property,Reliability of police,Business costs of crime,Gender Adjustment,Legal System & Property Rights,Money growth,Money growth DATA,Standard deviation of inflation,Standard deviation of inflation DATA,Inflation: Most recent year,Inflation: Most recent year DATA,Freedom to own foreign currency bank accounts,Sound Money, Revenue from trade taxes (% of trade sector), Revenue from trade taxes (% of trade sector) DATA,Mean tariff rate,Mean tariff rate DATA,Standard deviation of tariff rates,Standard deviation of tariff rates DATA,Tariffs, Non-tariff trade barriers,Compliance costs of importing and exporting, Regulatory trade barriers,Black market exchange rates,Foreign ownership/investment restrictions,Capital controls,Freedom of foreigners to visit,Controls of the movement of capital and people,Freedom to trade internationally,Ownership of banks,Private sector credit,Interest rate controls/negative real interest rates),Credit market regulations,Hiring regulations and minimum wage,Hiring and firing regulations,Centralized collective bargaining,Hours Regulations,Mandated cost of worker dismissal,Conscription,Labor market regulations,Administrative requirements,Bureaucracy costs,"Starting
a  business",Extra payments/bribes/favoritism,Licensing restrictions,Tax compliance,Business regulations,Regulation,ECONOMIC FREEDOM (Score),ECONOMIC FREEDOM (Rank)
2016,BGD,Bangladesh,South Asia,5,80,138,4,2,3,3,7,3,4,3,1,9,0,2,5,5,0,9,9,0,3,5,0,9,8,0,5,9,9,0,6,7,9,10,0,7,5,0,0,0,0,0,0,5,8,7,6,5,0,5,0,5,0,5,0,-,-,7,5,6,1,4,2,5,9,5,0,7,5,-,-,7,5,-,-,7,5,-,-,7,5,7,0,10,0,0,0,9,9,2,0,3,7,3,3,7,5,7,5,7,5,7,0,0,0,0,0,0,0,0,0,0,0,10,0,5,0,0,0,1,3,5,30,146,9,5,7,9,9,7,1,5,7,0,22,5,8,0,30,0,8,0
2016,BRD,Barbados,Latin America & the Caribbean,7,7,67,2,7,7,6,5,5,9,6,7,5,6,10,9,10,0,10,0,0,0,-,10,0,0,0,10,0,0,0,10,0,-,-,-,-,-,-,7,8,10,0,10,0,-,10,0,-,-,-,9,4,7,5,8,5,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,10,0,0,0,9,0,7,5,-,-,-,9,1,-,10,0,10,0,10,0,0,0,0,0,0,0,-,5,0,7,71,54,7,6,14,3,6,0,15,3,6,0,29,0,6,0,37,0,6,0,37,0,6,0,6,4,6,4,4,1,6,5,9,8,-,3,8,6,2,7
2016,BLR,Belarus,Eastern Europe,6,14,128,4,4,5,5,9,5,0,5,1,8,6,3,6,10,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,9,0,10,0,10,0,10,0,10,0,10,0,10,0,9,2,0,0,0,0,10,0,3,3,-,-,2,5,8,5,4,5,5,2,2,5,2,5,-,-,2,5,-,-,2,5,-,-,2,5,2,5,10,0,0,0,10,0,0,0,0,7,2,5,7,5,5,0,5,0,5,8,7,0,10,0,10,0,10,0,10,0,10,0,10,0,5,0,8,0,6,6,120,5,1,22,7,4,5,20,8,10,0,12,2,10,0,13,0,5,0
2016,BEL,Belgium,Western Europe,8,15,27,1,8,7,7,3,7,2,7,8,9,2,1,9,10,0,10,0,0,0,10,0,8,9,3,2,5,1,24,3,8,8,10,0,10,0,10,0,10,0,10,0,10,0,9,3,10,0,10,0,10,0,10,0,-,-,10,0,8,3,6,1,8,1,10,0,10,0,-,-,10,0,-,-,10,0,-,-,10,0,10,0,10,0,0,0,10,0,0,0,9,0,9,3,10,0,10,0,10,0,9,8,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,99,19,2,5,31,5,2,0,29,8,10,0,9,5,2,0,50-55,0,0,67-70
2016,BLZ,Belize,Latin America & the Caribbean,7,15,64,2,4,8,4,7,3,3,4,3,0,0,37,6,10,0,10,0,0,0,-,10,0,0,0,10,0,0,0,10,0,-,-,10,0,10,0,10,0,10,0,6,7,10,0,10,0,-,10,0,-,-,-,9,6,8,5,9,1,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,10,0,0,0,7,3,6,8,-,-,-,8,5,-,10,0,10,0,10,0,10,0,10,0,10,0,-,10,0,7,43,66,6,6,17,4,8,4,6,3,4,0,37,4,9,0,25,0,-,-,9,0,7,0,8,0,4,2,7,4,6,4,-,3,3,7
2016,BEN,Benin,Sub-Saharan Africa,6,74,90,3,-,-,-,4,1,7,5,6,2,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,8,7,7,5,5,0,5,0,5,0,7,1,8,0,5,0,10,0,5,0,6,7,-,-,10,0,8,6,9,6,9,4,10,0,10,0,-,-,10,0,-,-,7,5,-,-,10,0,9,5,10,0,0,0,10,0,0,0,5,7,7,3,10,0,10,0,10,0,9,0,-,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,50,61,7,5,14,6,9,8,1,3,4,0,31,8,4,0,45,0,3,0,46,0,3,5
2016,BTN,Bhutan,South Asia,6,81,83,3,-,-,-,5,9,9,5,1,1,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,7,5,5,0,5,0,5,0,7,5,8,8,5,0,0,0,10,0,5,0,-,-,-,9,4,5,1,7,3,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,10,0,0,0,4,0,5,0,-,-,-,7,3,0,0,-,10,0,10,0,0,0,0,0,0,0,5,0,3,8,6,60,96,4,4,24,9,9,9,0,9,7,0,22,4,9,0,25,0,8,0,26,0,8,5,7,5,6,2,5,3,6,7,9,2
2016,BOL,Bolivia,Latin America & the Caribbean,6,72,92,3,3,7,3,4,2,1,3,1,7,5,6,3,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,10,0,5,0,5,0,5,0,8,3,8,4,10,0,10,0,10,0,10,0,-,-,7,5,8,9,8,9,8,4,7,5,7,5,-,-,5,0,-,-,5,0,-,-,7,5,6,5,10,0,0,0,10,0,0,0,4,7,4,3,10,0,10,0,10,0,8,4,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,7,21,73,5,8,20,2,8,8,4,8,0,0,62,6,10,0,13,0,10,0
2016,BIH,Bosnia and Herzegovina,Eastern Europe,7,23,59,2,6,3,5,0,5,1,5,5,9,5,1,3,10,0,10,0,0,0,5,0,10,0,0,0,10,0,0,0,9,0,10,0,10,0,5,0,5,0,5,0,8,3,8,9,5,0,5,0,10,0,6,7,-,-,10,0,8,4,7,1,8,5,10,0,7,5,-,-,10,0,-,-,10,0,-,-,10,0,9,5,10,0,0,0,10,0,0,0,6,3,4,3,10,0,10,0,10,0,8,7,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,7,86,47,5,6,21,0,5,4,17,6,4,0,32,7,10,0,10,0,3,0
2016,BWA,Botswana,Sub-Saharan Africa,7,15,64,2,5,3,6,1,5,5,5,6,4,0,15,0,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,7,5,5,0,5,0,5,0,7,5,7,2,10,0,10,0,5,0,8,3,-,-,-,9,8,8,2,9,0,-,-,-,-,-,-,-,-,-,-,-,-,10,0,0,0,10,0,0,0,6,0,5,3,-,-,-,7,8,7,0,5,0,5,0,5,0,0,0,0,0,0,0,5,0,4,3,6,88,86,3,6,27,6,7,2,10,9,7,0,22,2,9,0,25,0,9,0,25,0,9,0,6,7,5,3,5,4
