"","Country.Name","Property.Rights","Change.in.Property.Rights.from.2015","Freedom.from.Corruption","Change.in.Freedom.from.Corruption.from.2015","Fiscal.Freedom","Change.in.Fiscal.Freedom.from.2015","Gov.t.Spending","Change.in.Gov.t.Spending.from.2015","Business.Freedom","Change.in.Business.Freedom.from.2015","Labor.Freedom","Change.in.Labor.Freedom.from.2015","Monetary.Freedom","Change.in.Monetary.Freedom.from.2015","Trade.Freedom","Change.in.Trade.Freedom.from.2015","Investment.Freedom","Change.in.Investment.Freedom.from.2015","Financial.Freedom","Change.in.Financial.Freedom.from.2015","Tariff.Rate....","Income.Tax.Rate....","Corporate.Tax.Rate....","Tax.Burden...of.GDP","Gov.t.Expenditure...of.GDP","Population..Millions.","GDP..Billions..PPP.","GDP.Growth.Rate....","X5.Year.GDP.Growth.Rate....","GDP.per.Capita..PPP.","Inflation....","FDI.Inflow..Millions.","Public.Debt....of.GDP.","HUMAN.FREEDOM..Rank.","HUMAN.FREEDOM..Quartile.","Procedural.Justice","Homicide","Homicide.DATA","Disappearances","Violent.Conflicts","Violent.Conflicts.DATA","Organised.Conflicts","Terrorism.Fatalities","Terrorism.Fatalities.DATA","Terrorism.Injuries","Terrorism.Injuries.DATA","Disapperances","Conflicts","and.Terrorism","Female.Genital.Mutilation","Missing.Women","Inheritance.Rights..Widows","Inheritance.Rights..Daughters","Inheritance.Rights","Women.s.Security...Safety","Security...Safety","Domestic.Movement","Foreign.Movement","Women.s.Movement","Movement","Establishing.Religious.Organizations","Operating.Religious.Organizations","Establishing.and.Operating.Religious.Organizations","Harassment.and.Physical.Hostilities","Legal.and.Regulatory.Restrictions","Religion","Association","Assembly","Establishing.Political.Parties","Operating.Political.Parties","Establishing.and.Operating.Political.Parties","Establishing.Professional.Organization","Operating.Professional.Organization","Establishing.and.Operating.Professional.Organization","Establishing.Educational","Sporting.and.Cultural.Organizations","Operating.Educational","Sporting.and.Cultural.Organizations.1","Establishing.and.Operating.Educational","Sporting.and.Cultural.Organizations.2","Top.marginal.income.and.payroll.tax.rate","Top.marginal.income.and.payroll.tax.rate.DATA","Top.marginal.tax.rate","Size.of.Government","Judicial.independence","Impartial.courts","Protection.of.property.rights","Military.interference.in.rule.of.law.and.politics","Integrity.of.the.legal.system","Legal.enforcement.of.contracts","Regulatory.restrictions.on.the.sale.of.real.property","Reliability.of.police","Business.costs.of.crime","Gender.Adjustment","Legal.System...Property.Rights","Money.growth","Money.growth.DATA","Standard.deviation.of.inflation","Standard.deviation.of.inflation.DATA","Inflation..Most.recent.year","Inflation..Most.recent.year.DATA","Freedom.to.own.foreign.currency.bank.accounts","Sound.Money","Revenue.from.trade.taxes....of.trade.sector.","Revenue.from.trade.taxes....of.trade.sector..DATA","Mean.tariff.rate","Mean.tariff.rate.DATA","Standard.deviation.of.tariff.rates","Standard.deviation.of.tariff.rates.DATA","Tariffs","Non.tariff.trade.barriers","Compliance.costs.of.importing.and.exporting","Regulatory.trade.barriers","Black.market.exchange.rates","Foreign.ownership.investment.restrictions","Capital.controls","Freedom.of.foreigners.to.visit","Controls.of.the.movement.of.capital.and.people","Freedom.to.trade.internationally","Ownership.of.banks","Private.sector.credit","Interest.rate.controls.negative.real.interest.rates.","Credit.market.regulations","Hiring.regulations.and.minimum.wage","Hiring.and.firing.regulations","Centralized.collective.bargaining","Hours.Regulations","Mandated.cost.of.worker.dismissal","Conscription","Labor.market.regulations","Administrative.requirements","Bureaucracy.costs","Starting.a..business","Extra.payments.bribes.favoritism","Licensing.restrictions","Tax.compliance","Business.regulations","Regulation","ECONOMIC.FREEDOM..Score.","ECONOMIC.FREEDOM..Rank.","Unemployment"
"67","Japan",80,0,76,2,68.5,-0.2,46.2,-0.9,82.5,-1.6,83.9,-6.3,81.2,-5.5,82.6,0,70,0,60,10,1.2,40.8,23.9,30.3,42.3,127.1,4750.8,-0.1,1.5,37390,2.7,2089.8,246.4,10,31,1,9,7,4,7,6,9,9,0,3,10,0,10,0,0,0,10,0,10,0,0,1,10,0,0,2,10,0,10,0,7,5,10,0,10,0,10,0,9,2,9,7,10,0,10,5,10,0,0,0,10,0,0,0,8,3,6,0,10,0,10,0,10,0,9,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,8,73,29,4,1,26,2,4,1,22,3,7,0,21,8,3,0,56,0,3,0,3.7
"68","Jordan",60,0,49,4,91.7,-2,62,-8.7,64.9,5.8,68.4,-6,83.1,2.5,73.4,-6.2,70,0,60,0,8.3,14,20,15.3,35.6,6.7,79.6,3.1,2.7,11927,2.9,1760.4,89.3,85,75,2,2,6,0,5,8,9,4,1,5,10,0,8,8,3,6,7,5,8,8,3,7,8,6,6,9,8,7,10,0,7,5,0,0,0,0,0,0,5,8,8,0,10,0,5,0,10,0,0,0,10,0,0,0,2,7,3,5,7,5,7,5,5,0,6,6,-11.4513309449523,0,0,0,0,0,0,10,0,10,0,10,0,0,0,3,3,6,24,111,7,0,16,0,7,8,8,6,8,0,15,5,10,0,20,0,5,0,36,11.1
"69","Kazakhstan",30,5,29,3,93,-0.2,87.7,2.7,72.3,-1.4,82.7,-4.3,74,-0.6,77.4,-1.6,40,0,50,0,3.8,10,20,14,20.2,17.4,418.5,4.3,6,24020,6.7,9562,15.1,74,90,3,6,4,1,4,5,8,1,4,8,10,0,10,0,0,0,5,0,9,8,0,6,9,9,0,6,8,9,10,0,10,0,10,0,10,0,10,0,10,0,9,0,5,0,5,0,10,0,0,0,8,3,3,0,0,7,1,5,7,5,7,5,7,5,6,1,7,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,3,6,38,109,6,5,17,9,8,6,5,8,6,0,27,3,10,0,10,0,8,0,4.1
"70","Kenya",30,0,25,-2,79.4,1.4,80.8,8.7,48.6,0.7,62.2,-1.6,73.5,0.7,65.6,1.6,60,10,50,0,9.7,30,30,16.2,25.3,42.9,132.4,5.3,6,3084,6.9,989,48.6,82,82,2,6,3,8,4,0,8,1,4,9,0,0,9,7,1,0,5,0,9,5,1,5,9,7,1,4,6,8,7,3,7,5,5,0,5,0,5,0,6,6,7,1,5,0,5,0,10,0,0,0,10,0,0,0,4,3,4,0,10,0,10,0,10,0,8,3,10,0,5,0,5,0,5,0,0,0,10,0,5,0,10,0,7,5,6,45,102,7,5,14,6,9,8,1,2,6,0,29,4,8,0,30,0,8,0,9.2
"71","Kuwait",45,0,44,1,97.7,0,57.7,-3.4,63.4,4.8,62.7,-1.5,74.2,0.2,77.2,1,55,0,50,0,3.9,0,15,0.7,37.5,4,284,1.3,3.3,71020,2.9,485.8,7.1,19,124,4,5,2,9,3,1,8,10,0,10,0,0,0,7,5,9,9,0,2,10,0,0,2,9,5,10,0,7,5,0,0,0,0,0,0,5,8,8,2,10,0,0,0,5,0,0,0,10,0,0,0,3,0,4,3,10,0,7,5,7,5,7,5,20.374099837325,0,0,0,0,0,0,0,0,10,0,5,0,0,0,1,7,5,63,133,1,1,36,4,6,9,11,9,7,0,4.32113361176499,10,0,0,0,10,0,20,0,10,0,6,3
"72","Kyrgyz Republic",20,0,27,3,93.7,0.1,56.3,3.1,65.3,-8.4,80.4,-4.6,68.4,-5.4,75,-5.2,60,0,50,0,2.5,10,10,20.8,38.1,5.7,19.2,3.6,3.7,3361,7.5,210.5,53,59,99,3,6,3,2,3,8,8,2,4,5,5,0,10,0,0,0,2,5,9,9,0,2,9,8,0,8,7,5,10,0,10,0,5,0,5,0,5,0,8,3,8,0,5,0,5,1,0,3,3,3,3,-4.52010807997425,2.32335941085571,0.30192208229492,6,2,7,0,10,0,10,0,10,0,10,0,10,0,10,0,5,0,8,0,6,25,110,6,7,17,3,7,1,11,0,6,0,25,5,10,0,10,0,7,0,32,0,8,5,7,1,3,5,3,3,8.1
"73","Latvia",50,0,55,2,84.8,0.4,58.4,-0.8,78.6,-3.5,59.5,-2,84.8,1,88,0,85,0,60,10,1,23,15,27.7,37.2,2,48.2,2.4,2.7,23707,0.7,473.5,37.8,25,23,1,6,7,8,7,3,4,10,0,10,0,0,0,10,0,10,0,0,0,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,9,6,10,0,10,0,10,0,0,0,10,0,0,0,7,7,8,0,10,0,10,0,10,0,9,4,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,8,85,22,5,1,22,7,7,0,11,4,8,0,19,2,9,0,23,0,4,0,44,0,6,10
"74","Lebanon",20,0,27,-1,91.3,0,75.7,5.1,59.1,4.4,57.3,-3.4,79,7,75.8,0,60,0,50,-10,7.1,20,15,15.5,28.5,4.5,81.1,2,3.2,17986,1.9,3070.1,134.4,71,95,3,7,3,7,4,3,8,4,4,0,10,0,10,0,0,0,2,5,8,6,4,2,7,5,12,3,7,7,10,0,10,0,0,0,0,0,0,0,6,7,7,6,5,0,10,0,10,0,0,0,10,0,0,0,3,3,4,8,10,0,10,0,10,0,8,3,-13.6269248241314,5,0,5,0,5,0,0,0,10,0,5,0,0,0,3,3,6,43,104,7,5,14,3,8,1,7,4,10,0,7,6,10,0,20,0,8,0,26,6.4
"75","Lesotho",30,-5,49,0,59.1,-9.4,0,0,53.3,-1.4,62.1,-1.8,76.9,1.7,85.8,21.2,50,5,40,0,2.1,35,25,47.3,62.6,1.9,5.3,2.2,4.5,2764,3.9,46.4,45.9,53,100,3,4,9,0,0,41,2,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,10,0,7,5,5,0,5,0,5,0,7,5,5,7,10,0,10,0,10,0,7,4,5,2.61615077638032,18.3312418333278,8.03945832678401,7,5,0,0,5,0,10,0,7,5,10,0,10,0,10,0,5,0,5,6,6,69,93,2,6,31,0,8,9,4,6,0,0,58,6,8,0,30,0,8,0,30,0,8,0,4,9,4,6,4,1,4,4,6,26.2
"76","Liberia",25,0,37,-1,83.8,0.8,67.7,-2.2,55.1,-5,44.5,0.6,71,-1.7,72.8,-1.6,45,5,20,0,6.1,25,25,19.2,32.8,4.2,3.7,0.5,6.2,882,9.9,302,33.2,48,106,3,3,3,1,3,8,8,7,3,2,10,0,10,0,0,0,7,5,10,0,0,0,10,0,0,0,9,5,4,2,10,0,5,0,5,0,5,0,6,4,8,2,5,0,10,0,0,4,3,4,5,-12.2343611713843,28.6376898991014,-9.70646840600569,7,2,-3.8464780683893,10,0,5,0,7,5,0,0,0,0,0,0,5,0,4,2,6,40,105,8,8,10,0,8,6,5,5,4,0,37,9,9,0,25,0,7,0,31,0,8,0,7,4,3,8,3,9,4,3.8
