"","PC1","PC2","PC3","PC4","PC5","County","Unemployment"
"1",-0.433796741229081,-0.593010968089861,-0.220376628254012,-0.028127712427451,0.35022829050158,"Albania",16.1
"2",-0.757906114788776,0.0354849676309012,-0.132040008131435,0.345091633196693,-0.00211064755940077,"Algeria",9.5
"3",-0.224785829019498,0.0390114703432018,-0.0518575461876326,0.143009308254708,-0.373468913221298,"Angola",6.8
"4",-0.145433886861206,-0.185460226401886,0.0856414471279695,1.40096534670565,-2.47747025505355,"Argentina",8.2
"5",-0.518685680405289,-0.0701985268238095,0.974618562103531,0.667882866396474,0.186884667198659,"Armenia",17.1
"6",-0.404257514501749,-0.438638488634773,-0.559969917946841,-0.502268072196194,0.359328446453725,"Australia",6
"7",-0.207036711482026,0.0109039048427928,-1.30462341899821,-1.54870936571718,-0.329176758881837,"Austria",5
"8",-0.523775265021399,0.374262239613064,0.55537980526895,-0.433887188308347,0.46428648150652,"Azerbaijan",5.2
"9",-0.651577274170695,0.208869543492709,0.723381430798442,0.423626452333935,0.98652042023945,"Bahamas",15.4
"10",-0.569566490985879,0.0727700453885809,0.73132215506851,0.584354867684485,-0.24739104589686,"Bahrain",4.1
"11",-0.736778907569076,-0.892392616424618,0.499494007096408,1.59993598367305,-0.184799940811409,"Bangladesh",4.3
"12",-0.0918253250178813,0.658576673992095,-0.366832783113598,-0.919536510539058,0.200577588822572,"Barbados",12
"13",0.166752739524224,-0.245318620937546,-0.159458661485096,0.887942323949281,-1.97398538237896,"Belarus",5.9
"14",-0.149720702704688,0.139247207722288,-1.59399108876657,-2.01776765477161,-0.305480825936404,"Belgium",8.5
"15",0.723505447573274,-0.163487413976023,0.848985623642087,-0.609221820380677,1.37657071948278,"Belize",11.5
"16",-0.770168902783255,-0.226854150700012,0.355792727857471,0.202975790637701,1.01700387785432,"Benin",1
"17",1.17112458944032,3.75379320120625,7.03463706449394,-1.32313041495238,-1.6194796571749,"Bhutan",2.8
"18",-0.108633021160943,-0.26061222553662,-0.123438145443261,0.652180455926571,-1.12802287640217,"Bolivia",2.7
"19",-0.308182580986224,-0.0598400882242931,-1.03987299763076,-1.11335785700546,-0.0114468653305494,"Bosnia and Herzegovina",27.9
"20",-0.165470647092241,-0.146249029009383,1.05384758694704,1.0741996748307,-1.11378879401424,"Botswana",18.2
"21",0.10364753093001,-0.408907525118328,-0.232987162590728,0.241617416252263,-0.967404725796013,"Brazil",6.8
"22",-0.385516830538634,0.189292162588705,0.720731685826664,-0.349951272942461,0.258962946454585,"Brunei Darussalam",3.8
"23",-0.543068028399782,-0.35051843766234,-0.558318838654787,-0.355357298636289,0.299574010870542,"Bulgaria",11.6
"24",-0.639971206133092,-0.449483944267663,-0.168082113122872,-0.192420765185198,1.40964438855879,"Burkina Faso",3.1
"25",-0.802875914698417,0.254027807380551,-0.141666331025373,0.521118349169912,0.306231113765783,"Burundi",6.9
"26",-0.541593151695715,-0.629511662453123,0.522687629405874,0.756415202195797,0.690367207410086,"Cambodia",0.4
"27",-0.650571126189149,-0.473317995215195,0.353608737525494,0.472025231788475,0.94392842969024,"Cameroon",4.3
"28",0.133859516917277,-0.391703477447197,-0.553660503552527,-0.43933804392568,-0.422889839131115,"Canada",6.9
"29",-0.843603119889743,-0.245600932549214,0.681449089203152,1.15963804422427,-0.234740168444827,"Chad",7
"30",-0.853223855502201,-0.797914734719122,-0.169207693356494,0.448551394786172,0.639347951134664,"Chile",6.4
"31",0.32859099892097,-0.716185466736061,0.17647136564488,0.725196853072479,-0.499262526559732,"China",4.7
"32",-0.387843183190695,-0.40987594359113,-0.210905957729136,0.318163404345313,0.246676798213126,"Colombia",10.1
"33",-0.696954102857264,-0.788482537774382,0.176466357158114,0.768828948569454,0.309479072335904,"Costa Rica",8.3
"34",-0.282871540848093,-0.120193539237324,-1.04626872109561,-1.15273182686097,-0.523719720144671,"Croatia",16.7
"35",-0.409785473465752,0.239767239946165,-0.201360112315042,-1.39367674014129,0.770557503475581,"Cyprus",15.6
"36",-0.351327723100114,0.302452683351401,-1.5995252368885,-1.92541347333243,-0.553370404393243,"Denmark",6.6
"37",0.0443736352304659,-0.126077256729605,-0.3553360721834,0.220289521908377,-1.23340531078007,"Ecuador",4.6
"38",-0.359898176486448,-0.395081643152079,-0.397405311034872,0.41429525299433,-0.344581627954821,"Egypt",13.2
"39",-0.648991541915711,-0.642984931749951,0.0106691386190433,0.293109624910472,0.541077160584263,"El Salvador",6.2
"40",-0.451071111755691,-0.270079511154454,-0.543704103183856,-0.308775857651386,0.162181326958898,"Estonia",7.7
"41",-0.622112110454966,-0.472819259021207,0.658400709329081,1.31669049856956,0.3975981959204,"Ethiopia",5.2
"42",0.636426315846209,0.670657705865007,3.24765179408501,-1.74565207190743,2.6483051328957,"Fiji",7.9
"43",0.0358547837357049,0.2036110313556,-1.58215648429957,-1.86261863362341,-0.611570370557149,"Finland",8.6
"44",0.0507968250892807,0.21715769429369,-1.61262342306724,-1.88521275524918,-0.747620439033979,"France",9.9
"45",-0.548370403983367,-0.0671836038233519,0.458597930859875,0.369823590157887,0.181925168214234,"Gabon",19.7
"46",-0.166337479841682,-0.36477858597448,0.336717621014673,-0.184577667083083,0.0879627069423405,"Gambia",7
"47",-0.569013598904583,-0.580203473388548,-0.243619310977103,0.298321982537724,0.446120924679672,"Georgia",13.4
"48",-0.35821315161712,-0.130491436568296,-1.04097347626868,-1.11809651965806,0.11331690159556,"Germany",5
"49",-0.165764561378271,-0.519285942967013,0.429244357569164,0.906341834299001,-0.290557541251415,"Ghana",2.4
