geo\time,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,
Hannover,28500,,29300,,29800,,28000,,29700,,31500,,32200,,31800,,33100,(e),33900,(e),34600,(e),35500,(e)
Lüneburg,19600,,20700,,20900,,20000,,21000,,22200,,23200,,23500,,25000,(e),25700,(e),25500,(e),26300,(e)
Weser-Ems,24700,,26300,,26800,,25200,,27100,,28600,,29400,,29600,,30700,(e),31800,(e),32200,(e),33200,(e)
Düsseldorf,31500,,34100,,35000,,32600,,33700,,35200,,35400,,35500,,37100,(e),38000,(e),37900,(e),38600,(e)
Köln,31900,,34000,,33500,,32100,,33400,,34700,,35300,,35700,,37200,(e),38900,(e),39100,(e),39700,(e)
Münster,24700,,26400,,26800,,24900,,26400,,27700,,28300,,28500,,29600,(e),30400,(e),30600,(e),31300,(e)
Detmold,26900,,29100,,28900,,27200,,28500,,30400,,31300,,31900,,33600,(e),34300,(e),34800,(e),35600,(e)
Arnsberg,25200,,26900,,27300,,25500,,27200,,28800,,29300,,29400,,30800,(e),31600,(e),31800,(e),32500,(e)
Koblenz,24200,,25400,,25400,,24100,,25800,,27300,,28000,,28400,,30000,(e),31100,(e),31300,(e),32100,(e)
Trier,22100,,23200,,23400,,22300,,23200,,24900,,25500,,26400,,27500,(e),28400,(e),28400,(e),29300,(e)
Rheinhessen-Pfalz,26800,,28500,,28400,,27100,,29200,,30700,,31700,,31600,,33000,(e),34700,(e),34500,(e),35400,(e)
Saarland,28200,,30000,,30000,,26600,,28700,,30600,,31100,,30500,,32400,(e),33400,(e),32800,(e),33300,(e)
Dresden,21200,,22600,,22300,,21300,,22400,,23500,,24000,,24500,,25900,(e),27600,(e),27900,(e),28400,(e)
Chemnitz,19300,,20600,,20600,,19400,,20900,,22100,,22600,,22700,,24200,(e),25300,(e),25900,(e),26500,(e)
Leipzig,21800,,23000,,23200,,22400,,23700,,25400,,26300,,26800,,28300,(e),29000,(e),29300,(e),29600,(e)
Sachsen-Anhalt,19300,,20600,,20700,,19500,,21100,,21800,,22900,,23200,,24200,(e),25000,(e),25100,(e),25600,(e)
Schleswig-Holstein,24400,,25200,,25500,,24200,,25100,,26200,,27300,,27500,,28700,(e),29500,(e),29700,(e),30400,(e)
Thüringen,19100,,20400,,20400,,19200,,20800,,22300,,22800,,23500,,25200,(e),26000,(e),26300,(e),27000,(e)
Eesti,15900,,18100,,17900,,15600,,16500,,18500,,19600,,20200,,21300,,22000,,22500,,23700,
Northern and Western,25300,,25700,,23300,,20500,,22200,,24100,,24400,,21900,,22700,,25400,,23900,,25200,(e)
Southern,34800,,37200,,33000,,29900,,31000,,33400,,34400,,33500,,34800,,66200,,63000,,66200,(e)
Eastern and Midland,42100,,44200,,40700,,37000,,38700,,38000,,39400,,41500,,45500,,51700,,54000,,56700,(e)
"Anatoliki Makedonia, Thraki",16200,,16900,,17400,,16500,,16000,,14100,,13700,,13400,,13700,,13900,(p),13900,(p),13900,(p)
Kentriki Makedonia,18600,,19300,,19500,,18300,,16700,,15400,,14900,,14700,,15100,,15600,(p),15600,(p),16000,(p)
Dytiki Makedonia,20500,,19900,,18700,,19000,,18400,,17900,,18400,,18300,,19700,,19400,(p),17400,(p),17900,(p)
Ipeiros,16700,,16800,,16700,,15700,,15100,,14100,,13400,,13600,,14000,,14300,(p),14300,(p),14400,(p)
Thessalia,18000,,18100,,18300,,17100,,15400,,14100,,14100,,14300,,14900,,15400,(p),15300,(p),15700,(p)
Ionia Nisia,23300,,23700,,24300,,21800,,20200,,17600,,17200,,17200,,18100,,18700,(p),18400,(p),18600,(p)
Dytiki Ellada,18400,,18600,,18300,,17000,,16400,,14700,,14400,,14200,,14600,,15000,(p),14600,(p),14900,(p)
Sterea Ellada,21800,,21800,,21800,,20100,,18700,,17500,,17000,,16800,,17100,,17600,(p),17800,(p),18500,(p)
Peloponnisos,18600,,19200,,19200,,18200,,17000,,15800,,15500,,15600,,16000,,16600,(p),16500,(p),17000,(p)
Attiki,31300,,32200,,32600,,31300,,29300,,26800,,26000,,26200,,27000,,27400,(p),26900,(p),27300,(p)
Voreio Aigaio,18300,,19100,,19700,,18300,,16800,,15500,,14800,,15000,,15500,,15700,(p),14900,(p),14500,(p)
Notio Aigaio,26300,,26800,,27600,,24700,,23000,,20900,,20000,,20800,,21800,,22600,(p),21500,(p),21700,(p)
Kriti,21000,,21000,,21400,,20000,,18400,,16400,,15500,,15800,,16800,,17300,(p),16700,(p),17000,(p)
Galicia,21400,,23000,,23100,,21700,,21700,,21300,,21200,,21200,,21900,,23400,,23700,(p),24700,(p)
