"","PC1","PC2","PC3","PC4","PC5","Unemployment","County"
"1",1.24430843372778,1.13114774413103,-0.674975572291615,0.291060233657271,-0.354553780883595,16.1,"Albania"
"2",0.00911341540397026,-0.977112572902889,-0.139618509605638,-0.870792654442127,0.0796508029074446,9.5,"Algeria"
"3",0.463211966785061,-1.32390172582506,-0.622388580431427,-1.16997342340576,-0.717623529215318,6.8,"Angola"
"4",-0.310710904614883,0.977612055833166,2.8323189060858,-1.61537112966807,1.99097398537464,8.2,"Argentina"
"5",-0.029894659822526,-1.92989605268794,-0.271202576118916,-0.336455775649169,0.0319598164725301,17.1,"Armenia"
"6",0.0335651985305734,2.30953740345749,-1.34850044618778,0.885984330137118,-0.690958159458606,6,"Australia"
"7",0.733258108479974,1.11157558419402,-0.455719867281818,1.58715414912526,0.871043559316465,5,"Austria"
"8",0.0382076786131245,-1.57637573200302,-0.0407368723381245,-0.000662044947292717,-0.956237749182603,5.2,"Azerbaijan"
"9",-0.737858438498169,-4.1493294933641,-0.588523093108369,-1.45610960420734,-0.851147944194478,15.4,"Bahamas"
"10",0.344217251662662,-0.946704198110542,0.105428194159521,-0.832536940762039,-1.39299444970299,4.1,"Bahrain"
"11",-1.00046995350535,-0.446480107156098,-0.288440843279872,-0.462025363571737,2.18519899218053,4.3,"Bangladesh"
"12",-0.567464524682289,-3.88076333801463,-0.808898558256605,-1.21676758142063,-0.770627882120895,12,"Barbados"
"13",0.196523848716149,0.461556340494608,2.79968887485153,-1.55654713259784,0.665600061191898,5.9,"Belarus"
"14",1.37641715509214,1.51273472013137,0.0674179934408764,-0.0166070844873543,-0.954634210379489,8.5,"Belgium"
"15",0.58811589214116,-2.27951130508727,-1.73615913514115,-0.876940065606986,-1.27178616942362,11.5,"Belize"
"16",-0.24377544578857,-2.47590090687852,-1.27798665691609,1.16635770262649,0.507787168859818,1,"Benin"
"17",-0.208603272665295,-2.47447073953618,0.646390393647441,-1.46720690368858,0.0321375547170747,2.8,"Bhutan"
"18",0.706173603300495,1.06101452223193,1.19797004344857,-0.556728197480197,0.597517523334848,2.7,"Bolivia"
"19",1.20812462347325,1.26005272461447,-0.690087658033713,1.13760785431185,0.156824097831669,27.9,"Bosnia and Herzegovina"
"20",0.537051857091957,0.0621262801209951,0.734862913866291,-0.889064324327718,-0.773105898603026,18.2,"Botswana"
"21",-2.59240774150754,2.24549024997708,1.03573884547409,-0.630720016733891,-0.0320407217879824,6.8,"Brazil"
"22",-0.718773597838768,-2.61350963615547,0.503221243677308,1.3495803416359,0.323117476244324,3.8,"Brunei Darussalam"
"23",1.22827902170537,1.28483608506361,-0.338805805494037,0.461294696792483,-0.497778436490453,11.6,"Bulgaria"
"24",1.11721546020507,1.18692330394113,0.376000154888139,0.138568291407616,-1.34765281075854,3.1,"Burkina Faso"
"25",0.122002172771612,-1.54553654873287,1.02872916129595,-1.18707982826477,-1.92535464455631,6.9,"Burundi"
"26",1.22639291057299,1.40688156204593,-0.0340343574468129,0.205073546212027,-0.0533576958450288,0.4,"Cambodia"
"27",0.360428716071128,-0.295654381469235,-0.621971945502255,0.960674796438901,1.29728799372415,4.3,"Cameroon"
"28",-0.162573386533796,2.43234825003202,-0.887056824400637,0.137272378313818,-0.46318658456478,6.9,"Canada"
"29",-0.162307853315414,-1.95146482847638,-0.0808242845127184,0.218978511833434,0.0204335396650103,7,"Chad"
"30",0.451490968219525,1.79121950469768,0.412007147399071,0.107131631124224,-0.980153489604198,6.4,"Chile"
"31",-14.9195464024864,3.00744778485627,-2.65469502172991,-0.893759048542448,-0.39856175502402,4.7,"China"
"32",0.206630132220346,1.46561291958245,0.00271709870486289,0.843541395578693,0.270046384703384,10.1,"Colombia"
"33",1.23432134147444,1.53220113143578,0.184125815239022,-0.292522604189624,-0.507455397043723,8.3,"Costa Rica"
"34",1.12862772205275,1.27933002076949,-0.323588266757245,0.306447859373823,-0.186373117616322,16.7,"Croatia"
"35",-0.249785703470151,-3.18826045119016,-1.98420895392223,1.01023627021163,0.571132758424653,15.6,"Cyprus"
"36",0.829369970479778,1.20546262706543,-0.676851861976678,1.44231587938661,0.420124064933438,6.6,"Denmark"
"37",0.191210945756055,0.727244045903305,1.98099427854879,-0.0471558306826903,0.579211665451481,4.6,"Ecuador"
"38",-0.569145419496446,-0.0409596495250427,0.446979486327561,-0.130984119251786,1.57355666359821,13.2,"Egypt"
"39",1.36667608372258,1.52022225496761,-0.222247609981604,0.145769332985467,-0.746042951380553,6.2,"El Salvador"
"40",1.01055222889214,1.15629286359078,0.0486934135284845,0.553360099718663,-0.366667485207846,7.7,"Estonia"
"41",-0.357549592693653,0.028095503473807,0.843016472426784,-0.104772142471329,1.36510026665793,5.2,"Ethiopia"
"42",0.265059752568788,-1.37927163511937,0.33098721872728,-1.33382152420477,-1.18044731342799,7.9,"Fiji"
"43",0.380438651945991,1.28824035332037,-0.428025648919378,1.59245452973815,0.716945338927363,8.6,"Finland"
"44",-0.00366980303375834,1.63318388967572,-0.20885777104052,0.480982758689263,-0.205057730642269,9.9,"France"
"45",0.399789139769814,-1.23416857692183,-0.199182740596476,-1.15773825718534,-1.55226699410163,19.7,"Gabon"
"46",0.216824577401562,-0.442060962439468,1.890986143459,-1.04534202270963,-0.761304777437788,7,"Gambia"
"47",0.907322095285965,0.899662396627617,-0.204523654687984,0.218401461142931,-0.4561518557937,13.4,"Georgia"
"48",0.0372538830121147,1.58986665534667,-0.639321851998275,1.23479712094222,0.32386080085279,5,"Germany"
