"Anatoliki Makedonia, Thraki",587,,685,,641,,663,,593,,505,,432,,391,,407,,432,,437,,503
Kentriki Makedonia,3972,,4395,,4358,,4208,,3969,,4008,,4075,,4111,,5021,,5397,,5735,,6347
Dytiki Makedonia,13,,9,,9,,9,,6,,12,,11,,12,,9,,11,,14,,12
Ipeiros,129,,141,,131,,138,,120,,89,,71,,64,,79,,87,,97,,96
Thessalia,308,,298,,295,,293,,302,,361,,351,,358,,402,,401,,431,,450
Ionia Nisia,3337,,3422,,3373,,3105,,3021,,3145,,3202,,3571,,4081,,4227,,4738,,5184
Dytiki Ellada,415,,475,,454,,411,,390,,387,,441,,470,,519,,550,,612,,717
Sterea Ellada,11,,13,,13,,13,,5,,5,,15,,20,,13,,22,,16,,17
Peloponnisos,115,,115,,81,,77,,100,,107,,109,,141,,242,,193,,232,,284
Attiki,14344,,16637,,16453,,16216,,15393,,14427,,12936,,12534,,15207,,18105,,20020,,21730
Voreio Aigaio,1309,,1503,,1465,,1517,,1349,,1272,,1115,,1067,,1202,,1265,,1117,,1192
Notio Aigaio,6040,,6902,,6731,,6527,,6785,,7795,,7335,,8156,,9210,,9643,,10065,,11312
Kriti,6517,,7415,,7406,,6947,,6655,,7117,,7006,,7951,,8565,,8840,,9749,,10429
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Galicia,3975,,4655,,4311,,4084,,4337,,4429,,3856,,3580,,3738,,4022,,4517,,4837
Principado de Asturias,1278,,1556,,1524,,1310,,1350,,1334,,1306,,1034,,1063,,1118,,1282,,1405
Cantabria,644,,759,,857,,957,,918,,1115,,1115,,973,,815,,874,,777,,935
País Vasco,4503,,4901,,4613,,3984,,4194,,4301,,4437,,4034,,4227,,4517,,4874,,5330
Comunidad Foral de Navarra,336,,490,,426,,325,,283,,230,,181,,150,,135,,144,,:,,:
La Rioja,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
Aragón,426,,510,,596,,529,,606,,751,,550,,458,,417,,424,,419,,437
Comunidad de Madrid,41725,,51208,,50366,,47944,,49797,,49532,,45124,,39661,,41541,,46297,,49178,,52023
Castilla y León,441,,488,,470,,357,,380,,453,,372,,254,,218,,212,,226,,220
Castilla-la Mancha,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:
