Currency;City;3bedroomavgrent2014;2bedroomavgrent2014;1bedroomavgrent2014;housenondetachedavgrent2014;housedetachedavgrent2014
EUR;Vienna;1550;1150;910;1900;2600
EUR;Brussels;1350;1000;810;1400;1950
BGN;Sofia;1350;840;610;-;1800
EUR;Sofia;680;430;310;-;930
HRK;Zagreb;8350;6000;4150;9450;14750
EUR;Zagreb;1100;790;550;1250;1950
EUR;Nicosia;660;490;370;830;1300
CZK;Prague;31200;22300;16600;33800;50300
EUR;Prague;1150;810;610;1250;1850
DKK;Copenhagen;16200;10400;7950;15800;22700
EUR;Copenhagen;2150;1400;1050;2100;3050
EUR;Tallinn;970;730;530;1050;1450
EUR;Helsinki;1900;1350;1050;2050;2850
EUR;Paris;2450;1800;1100;2400;3150
EUR;Lyon;1300;930;610;1200;1850
EUR;Berlin;1400;1050;800;1450;2200
EUR;Bonn;1250;920;740;1250;1850
EUR;Hamburg;1550;1200;960;1600;2350
EUR;Karlsruhe;1200;890;720;1350;1850
EUR;Munich;1950;1450;1150;2000;2850
EUR;Athens;1250;790;630;1250;1850
HUF;Budapest;378000;232500;141500;446500;669000
EUR;Budapest;1250;750;460;1450;2150
EUR;Dublin;1950;1500;1150;1950;2450
EUR;Rome;1650;1250;1030;1400;2150
EUR;Varese;860;650;520;1180;1700
EUR;Riga;1300;970;690;1500;1800
LTL;Vilnius;2950;2350;1750;3300;4800
EUR;Vilnius;850;680;510;960;1400
EUR;Luxembourg;2200;1650;1300;2350;3200
EUR;Valletta;980;690;490;1350;2100
EUR;The Hague;1850;1350;1030;2200;2950
PLN;Warsaw;4550;3500;2250;4800;7900
EUR;Warsaw;1100;840;540;1150;1900
EUR;Lisbon;970;720;600;1350;1750
RON;Bucharest;4000;3100;2000;-;6800
EUR;Bucharest;910;710;450;-;1550
EUR;Bratislava;1130;840;630;1300;2050
EUR;Ljubljana;840;690;470;1050;1250
EUR;Madrid;1250;930;710;1600;2300
SEK;Stockholm;24200;19200;14300;22500;28500
EUR;Stockholm;2650;2100;1550;2450;3100
GBP;London;2700;2050;1550;3200;4250
EUR;London;3400;2550;1950;4000;5300
GBP;Oxford;1100;980;820;1200;1700
EUR;Oxford;1400;1250;1050;1500;2150
GBP;Reading;1500;1100;810;1150;1600
EUR;Reading;1900;1400;1000;1450;2000
ALL;Tirana;92500;74300;49100;-;161000
EUR;Tirana;660;530;350;-;1150
BAM;Sarajevo;1900;1200;870;1900;2800
EUR;Sarajevo;970;610;450;970;1450
ISK;Reykjavik;187000;162500;121000;240500;285500
EUR;Reykjavik;1200;1050;780;1550;1850
MKD;Skopje;30800;19700;13600;-;70900
EUR;Skopje;500;320;220;-;1150
EUR;Podgorica;960;650;410;1100;1550
NOK;Oslo;21900;16600;13100;21800;29900
EUR;Oslo;2600;2000;1550;2600;3550
RSD;Belgrade;114500;90100;60100;173500;254000
EUR;Belgrade;990;780;520;1500;2200
CHF;Bern;2400;1850;1500;2800;3550
EUR;Bern;1950;1500;1250;2300;2900
CHF;Geneva;3750;2900;2050;4550;5850
EUR;Geneva;3100;2400;1700;3750;4800
TRY;Ankara;1450;1150;910;2000;3050
EUR;Ankara;500;400;310;690;1050
