Currency;City;3 bedroom avg rent;2 bedroom avg rent;1 bedroom avg rent;house non detached avg rent;house detached avg rent
EUR;Vienna;1700;1200;900;1900;3150
EUR;Brussels;1200;920;710;1250;1750
BGN;Sofia;2250;1250;900;-;3150
EUR;Sofia;1150;630;460;-;1600
EUR;Nicosia;710;580;460;1000;1600
CZK;Prague;40800;29900;20900;39200;58900
EUR;Prague;1700;1250;870;1650;2450
DKK;Copenhagen;14900;9800;6800;15300;21400
EUR;Copenhagen;2000;1300;910;2050;2850
EEK;Tallinn;16100;12100;8400;17100;22500
EUR;Tallinn;1050;770;540;1100;1450
EUR;Helsinki;2350;1350;1050;2100;3250
EUR;Paris;2300;1750;970;2150;3150
EUR;Lyon;1100;850;600;1080;1650
EUR;Berlin;1150;860;650;1250;1850
EUR;Bonn;1050;760;590;1100;1650
EUR;Hamburg;1350;1030;780;1400;2100
EUR;Karlsruhe;900;700;560;1100;1700
EUR;Munich;1500;1130;870;1650;2300
EUR;Athens;1700;1100;810;1950;3000
HUF;Budapest;395;247000;154000;526500;858000
EUR;Budapest;420000;1050;650;2200;3600
EUR;Dublin;1900;1550;1200;1800;2200
EUR;Rome;2100;1600;1200;1850;2350
EUR;Varese;930;700;560;1350;2000
LVL;Riga;890;690;520;1200;1650
EUR;Riga;1250;980;740;1700;2350
LTL;Vilnius;3450;2750;1850;4950;7450
EUR;Vilnius;1000;800;540;1450;2150
EUR;Valetta;890;650;450;1300;2200
EUR;The Hague;1850;1400;1050;1950;2500
PLN;Warsaw;6550;4450;2750;6800;11250
EUR;Warsaw;1950;1300;820;2000;3350
EUR;Lisbon;1100;800;610;1450;2100
RON;Bucharest;6400;4950;2700;-;10400
EUR;Bucharest;1750;1350;740;-;2850
SKK;Bratislava;37900;27300;20000;37900;56100
EUR;Bratislava;1250;900;660;1250;1850
EUR;Ljubljana;1350;1000;630;1500;1950
EUR;Madrid;1650;1150;900;2050;3050
SEK;Stockholm;22000;17200;12800;18800;25300
EUR;Stockholm;2350;1850;1350;2000;2700
GBP;London;2400;1800;1350;2750;3700
EUR;London;3050;2250;1700;3450;4650
GBP;Oxford;1050;870;690;1100;1550
EUR;Oxford;1350;1100;870;1400;1950
GBP;Reading;1050;860;700;1000;1350
EUR;Reading;1350;1100;880;1250;1700
ISK;Reykjavik;144000;125000;97500;165000;200000
EUR;Reykjavik;1100;980;760;1300;1550
NOK;Oslo;19300;14500;11200;20700;29100
EUR;Oslo;2400;1800;1400;2600;3650
CHF;Bern;2450;1900;1450;3000;3650
EUR;Bern;1550;1200;900;1850;2250
CHF;Geneva;3800;2850;2050;5050;6350
EUR;Geneva;2350;1800;1300;3150;3950
TRY;Ankara;1150;830;830;1550;2850
EUR;Ankara;590;430;430;800;1450
