Currency;City;3bedroomavgrent2015;2bedroomavgrent2015;1bedroomavgrent2015;housenondetachedavgrent2015;housedetachedavgrent2015
EUR;Vienna;1550;1150;890;1700;2550
EUR;Brussels;1250;1000;780;1400;1900
BGN;Sofia;1250;700;530;-;1650
EUR;Sofia;640;360;270;-;840
EUR;Nicosia;700;590;490;860;1350
CZK;Prague;32600;23300;17700;34800;48500
EUR;Prague;1250;900;690;1350;1900
DKK;Copenhagen;15300;10600;7850;17300;24200
EUR;Copenhagen;2050;1450;1050;2350;3250
EUR;Tallinn;870;670;510;980;1600
EUR;Helsinki;1950;1400;1050;2050;3350
EUR;Paris;2400;1850;1050;2400;3100
EUR;Lyon;1250;950;610;1150;1700
EUR;Berlin;1300;1000;780;1400;2000
EUR;Bonn;1200;870;700;1200;1600
EUR;Hamburg;1650;1200;940;1850;2750
EUR;Karlsruhe;1050;780;610;1250;1800
EUR;Munich;1850;1400;1100;2000;2950
EUR;Athens;1250;810;640;1400;2150
HUF;Budapest;378000;226000;137500;436500;803500
EUR;Budapest;1300;790;480;1500;2800
EUR;Dublin;1550;1200;930;1600;2050
EUR;Rome;1700;1300;1000;1600;2150
EUR;Varese;900;720;560;1150;1800
LVL;Riga;860;650;450;1050;1750
EUR;Riga;1250;930;650;1500;2500
LTL;Vilnius;2550;2050;1550;3050;4400
EUR;Vilnius;740;590;450;880;1250
EUR;Luxembourg;1850;1450;1100;2250;3000
EUR;Valletta;830;620;440;1080;1600
EUR;The Hague;1700;1350;1030;2100;-
PLN;Warsaw;5850;4200;2550;5700;8300
EUR;Warsaw;1350;980;600;1350;1950
EUR;Lisbon;910;680;540;1200;1600
RON;Bucharest;5350;3700;2150;-;6700
EUR;Bucharest;1200;830;480;-;1500
EUR;Bratislava;1050;870;660;1300;1950
EUR;Ljubljana;1050;780;540;1100;1500
EUR;Madrid;1400;1000;770;1650;2350
SEK;Stockholm;22300;16800;12200;21800;27700
EUR;Stockholm;2550;1900;1400;2500;3150
GBP;London;2800;2150;1650;3200;3950
EUR;London;3500;2700;2050;4000;4950
GBP;Oxford;1150;940;770;1200;1600
EUR;Oxford;1450;1200;960;1500;2000
GBP;Reading;1500;1050;760;1100;1600
EUR;Reading;1900;1300;950;1400;2000
ALL;Tirana;103500;76000;48400;-;200500
EUR;Tirana;750;550;350;-;1450
BAM;Sarajevo;1700;1250;880;1750;2750
EUR;Sarajevo;870;640;450;900;1400
HRK;Zagreb;8250;6250;4300;7900;15400
EUR;Zagreb;1100;830;570;1050;2050
ISK;Reykjavik;160500;128500;94500;211000;254000
EUR;Reykjavik;1000;810;600;1350;1600
MKD;Skopje;36400;24700;16600;54800;77000
EUR;Skopje;590;400;270;890;1250
EUR;Podgorica;980;650;450;1050;1800
NOK;Oslo;20600;15800;12300;21800;29600
EUR;Oslo;2750;2100;1650;2900;3900
RSD;Belgrade;137000;96900;67300;188000;279500
EUR;Belgrade;1200;850;590;1650;2450
CHF;Bern;2600;2050;1550;2800;3500
EUR;Bern;2150;1700;1300;2350;2900
CHF;Geneva;4050;3100;2350;5100;6350
EUR;Geneva;3350;2600;1950;4250;5300
TRY;Ankara;1050;780;820;1500;2800
EUR;Ankara;460;340;360;660;1250
