Currency;City;3bedroomavgrent2011;2bedroomavgrent2011;1bedroomavgrent2011;housenondetachedavgrent2011;housedetachedavgrent2011
EUR;Vienna;1500;1050;850;1600;2850
EUR;Brussels;1300;1000;760;1350;1850
BGN;Sofia;1550;780;570;-;1700
BGN;Sofia;780;400;290;-;870
EUR;Nicosia;770;630;500;890;1350
CZK;Prague;31800;24500;18300;37900;52800
EUR;Prague;1300;1000;750;1550;2150
DKK;Copenhagen;13900;9350;6700;15900;22600
EUR;Copenhagen;1850;1250;900;2150;3050
EEK;Tallinn;12200;9000;6450;12900;19500
EUR;Tallinn;780;580;410;820;1250
EUR;Helsinki;2100;1300;1000;2100;3000
EUR;Paris;2400;1800;1100;2400;3200
EUR;Lyon;1250;960;630;1150;1700
EUR;Berlin;1250;960;700;1350;1900
EUR;Bonn;1150;850;680;1200;1600
EUR;Hamburg;1600;1200;930;1800;2550
EUR;Karlsruhe;1000;780;610;1200;1750
EUR;Munich;1700;1250;970;1850;2850
EUR;Athens;1450;940;710;1700;2600
HUF;Budapest;429000;262000;160000;493000;809000
EUR;Budapest;1600;980;600;1850;3050
EUR;Dublin;1450;1200;940;1600;1950
EUR;Rome;1750;1400;1050;1750;2300
EUR;Varese;920;750;590;1300;1900
LVL;Riga;720;540;360;830;1200
EUR;Riga;1000;760;510;1150;1700
LTL;Vilnius;2850;2200;1500;3250;4450
EUR;Vilnius;830;640;430;940;1300
EUR;Luxembourg;1750;1400;1000;2150;3000
EUR;Valletta;880;640;450;1200;1800
EUR;The Hague;1450;1150;900;1450;-
PLN;Warsaw;5350;4250;2700;6100;8250
EUR;Warsaw;1350;1050;680;1550;2050
EUR;Lisbon;970;730;560;1300;1850
RON;Bucharest;4850;3250;2000;-;6300
EUR;Bucharest;1150;770;480;-;1500
EUR;Bratislava;1050;810;630;1150;1800
EUR;Ljubljana;1100;780;540;1150;1650
EUR;Madrid;1550;1050;820;1750;2600
SEK;Stockholm;21200;16200;11300;21600;27600
EUR;Stockholm;2300;1750;1250;2350;3000
GBP;London;3100;2300;1650;3650;4250
EUR;London;3450;2550;1850;4050;4700
GBP;Oxford;1150;920;730;1100;1500
EUR;Oxford;1300;1000;810;1200;1650
GBP;Reading;1400;960;740;950;1550
EUR;Reading;1550;1050;820;1050;1700
HRK;Zagreb;8850;6200;4350;9600;15850
EUR;Zagreb;1200;840;590;1300;2150
ISK;Reykjavik;142000;119000;86800;182000;242500
EUR;Reykjavik;860;720;530;1100;1450
NOK;Oslo;24000;16900;12500;23500;31200
EUR;Oslo;3100;2150;1600;3000;4000
RSD;Belgrade;121000;82900;59600;146500;242500
EUR;Belgrade;1200;820;590;1450;2400
CHF;Bern;2500;1800;1450;3000;3850
EUR;Bern;2100;1500;1200;2500;3200
CHF;Geneva;3950;3100;2100;5250;6500
EUR;Geneva;3300;2600;1750;4350;5400
TRY;Ankara;1050;830;740;1300;2400
EUR;Ankara;450;350;310;550;1000
