Currency;City;3bedroomavgrent2018;2bedroomavgrent2018;1bedroomavgrent2018;housenondetachedavgrent2018;housedetachedavgrent2018
EUR;Vienna;1700;1250;970;1850;3100
EUR;Brussels;1300;1050;800;1400;1850
BGN;Sofia;1700;1100;700;-;2550
EUR;Sofia;880;570;360;-;1300
HRK;Zagreb;11450;7000;4600;11450;18100
EUR;Zagreb;1550;950;620;1550;2450
EUR;Nicosia;900;710;620;1100;1900
CZK;Prague;43800;32000;23600;44700;72600
EUR;Prague;1700;1250;910;1700;2800
DKK;Copenhagen;18700;13200;10600;19200;24500
EUR;Copenhagen;2500;1750;1400;2600;3300
EUR;Tallinn;1150;850;600;1250;1750
EUR;Helsinki;2100;1450;1150;2200;3300
EUR;Paris;2700;2000;1200;2750;3450
EUR;Lyon;1450;1050;710;1450;1800
EUR;Berlin;1750;1250;990;1750;2600
EUR;Bonn;1300;970;780;1350;1800
EUR;Karlsruhe;1300;1000;810;1400;2000
EUR;Munich;2150;1650;1350;2450;3650
EUR;Athens;1350;910;690;1450;2150
HUF;Budapest;468000;312000;203500;604000;831500
EUR;Budapest;1450;950;620;1850;2550
EUR;Dublin;2700;2050;1650;2650;3250
EUR;Rome;1550;1200;910;1350;1900
EUR;Varese;1000;740;580;1250;1900
EUR;Riga;1250;860;610;1350;1750
EUR;Vilnius;1000;820;600;1400;1950
EUR;Luxembourg;2550;1950;1500;3400;4500
EUR;Valletta;1400;1100;820;1800;2700
EUR;The Hague;2000;1400;1050;2350;3200
PLN;Warsaw;5150;4000;2400;6450;9250
EUR;Warsaw;1200;920;550;1500;2100
EUR;Lisbon;1800;1500;1050;2200;2500
RON;Bucharest;5350;4000;2450;-;7700
EUR;Bucharest;1150;860;530;-;1650
EUR;Bratislava;1150;860;630;1350;2000
EUR;Ljubljana;1350;920;610;1350;1800
EUR;Madrid;1750;1300;960;2150;3000
SEK;Stockholm;32000;24300;15500;25800;32300
EUR;Stockholm;3050;2350;1500;2500;3100
GBP;London;2650;2000;1550;3150;4150
EUR;London;3000;2250;1750;3550;4700
GBP;Oxford;1250;1050;880;1250;1550
EUR;Oxford;1400;1200;990;1400;1750
GBP;Reading;1400;1150;900;1200;1650
EUR;Reading;1600;1300;1000;1350;1850
ALL;Tirana;91900;68000;46600;-;176000
EUR;Tirana;730;540;370;-;1400
BAM;Sarajevo;1600;1050;770;1650;2800
EUR;Sarajevo;820;540;390;840;1450
ISK;Reykjavik;260500;217000;180500;319450;386500
EUR;Reykjavik;2100;1750;1450;2550;3100
MKD;Skopje;30100;19100;14100;-;73800
EUR;Skopje;490;310;230;-;1200
EUR;Podgorica;970;620;370;1200;1750
NOK;Oslo;23800;18400;14200;25600;31900
EUR;Oslo;2500;1950;1500;2700;3350
RSD;Belgrade;159500;113500;75600;212500;336500
EUR;Belgrade;1350;960;640;1800;2850
CHF;Bern;2350;1800;1550;2800;3550
EUR;Bern;2050;1550;1350;2400;3050
CHF;Geneva;3500;2650;2100;4200;5200
EUR;Geneva;3050;2300;1800;3650;4500
TRY;Ankara;2150;1750;1400;2800;4700
EUR;Ankara;400;330;260;530;880
