geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018,
France,63645065,,64007193,,64350226,,64658856,,64978721,,65276983,,65600350,,66165980,(b),66458153,,66638391,(p),66804121,(p),66926166,(p)
France (metropolitan),61795238,,62134866,,62465709,,62765235,,63070344,,63375971,,63697865,,:,,:,,:,,:,,:,
Croatia,4313530,,4311967,,4309796,,4302847,,4289857,,4275984,,4262140,,4246809,,4225316,,4190669,,4154213,,4105493,
Italy,58223744,,58652875,,59000586,,59190143,,59364690,,59394207,,59685227,,60782668,,60795612,,60665551,,60589445,,60483973,
Cyprus,757916,,776333,,796930,,819140,,839751,,862011,,865878,,858000,,847008,,848319,,854802,,864236,
Latvia,2208840,,2191810,,2162834,,2120504,,2074605,,2044813,,2023825,,2001468,,1986096,,1968957,,1950116,,1934379,
Lithuania,3249983,,3212605,,3183856,,3141976,,3052588,,3003641,,2971905,,2943472,,2921262,,2888558,,2847904,,2808901,
Luxembourg,476187,,483799,,493500,,502066,,511840,,524853,(b),537039,,549680,,562958,,576249,,590667,(b),602005,
Hungary,10066158,,10045401,,10030975,,10014324,,9985722,,9931925,(b),9908798,,9877365,,9855571,,9830485,,9797561,,9778371,
Malta,405616,,407832,,410926,,414027,,414989,,417546,,422509,,429424,,439691,,450415,,460297,,475701,
Netherlands,16357992,,16405399,,16485787,,16574989,,16655799,,16730348,,16779575,,16829289,,16900726,,16979120,,17081507,,17181084,
Austria,8282984,,8307989,,8335003,,8351643,,8375164,,8408121,,8451860,,8507786,,8584926,,8700471,,8772865,,8822267,
Poland,38125479,,38115641,,38135876,,38022869,(b),38062718,,38063792,,38062535,,38017856,,38005614,,37967209,,37972964,,37976687,
Portugal,10532588,,10553339,,10563014,,10573479,,10572721,,10542398,,10487289,,10427301,,10374822,,10341330,,10309573,,10291027,
Romania,21130503,,20635460,,20440290,,20294683,,20199059,,20095996,,20020074,,19947311,,19870647,,19760585,,19644350,,19530631,
Slovenia,2010377,,2010269,(b),2032362,,2046976,,2050189,,2055496,,2058821,,2061085,,2062874,,2064188,,2065895,,2066880,
Slovakia,5373180,,5376064,,5382401,,5390410,,5392446,,5404322,,5410836,,5415949,,5421349,,5426252,,5435343,,5443120,
Finland,5276955,,5300484,,5326314,,5351427,,5375276,,5401267,,5426674,,5451270,,5471753,,5487308,,5503297,,5513130,
Sweden,9113257,,9182927,,9256347,,9340682,,9415570,,9482855,,9555893,,9644864,,9747355,,9851017,,9995153,,10120242,
United Kingdom,61073279,,61571647,,62042343,,62510197,,63022532,,63495088,,63905342,,64351203,,64853393,,65379044,,65844142,,66273576,
Iceland,307672,,315459,,319368,,317630,,318452,,319575,,321857,,325671,,329100,,332529,,338349,,348450,
Liechtenstein,35168,,35356,,35589,,35894,,36149,,36475,,36838,,37129,,37366,,37622,,37810,,38114,
Norway,4681134,,4737171,,4799252,,4858199,,4920305,,4985870,,5051275,,5107970,,5166493,,5210721,,5258317,,5295619,
Switzerland,7508739,,7593494,,7701856,,7785806,,7870134,(b),7954662,,8039060,,8139631,,8237666,,8327126,,8419550,,8484130,
Montenegro,614624,,615543,,617157,,619001,,619850,,620308,,620893,,621521,,622099,,622218,,622387,,622359,
North Macedonia,2041941,,2045177,,2048619,,2052722,,2057284,,2059794,,2062294,,2065769,,2069172,,2071278,,2073702,,2075301,
Albania,2981755,,2958266,,2936355,,2918674,,2907361,,2903008,,2897770,,2892394,,2885796,,2875592,,2876591,,2870324,
Serbia,7397651,,7365507,,7334937,,7306677,,7251549,(b),7216649,,7181505,,7146759,,7114393,,7076372,,7040272,,7001444,
Turkey,69729967,,70586256,,71517100,,72561312,,73722988,,74724269,,75627384,,76667864,,77695904,,78741053,,79814871,,80810525,
Andorra,81222,,83137,,84484,,84082,,78115,(b),78115,,76246,,:,,:,,71732,,:,,:,
Belarus,9714461,,9689770,,9671912,,9480178,,9481193,,9465150,,9463840,,9468154,,9480868,(e),9498364,,9504704,,9491823,
Bosnia and Herzegovina,3844017,,3843846,,3843998,,3844046,,3843183,,3839265,(p),3835645,(p),3830911,(p),3825334,,3515982,,3509728,,3502550,
Kosovo (under United Nations Security Council Resolution 1244/99),2126708,,2153139,,2180686,,2208107,(p),1794180,(b),1798645,,1815605,,1820631,(e),1804944,(b),1771604,,1783531,,1798506,
Moldova,3581110,,3572703,,3567512,,3563695,,3560430,,3559541,,3559497,,3557634,,3555159,(e),3553056,,3550852,,3547539,(e)
Monaco,:,,:,,:,,:,,:,,:,,:,,:,,37700,(e),38200,,:,,:,
Russia,142220968,,142008838,,141903979,,141914509,,142856536,,143056383,,:,,143666931,,:,,:,,:,,:,
San Marino,30368,,32054,,31269,,:,,31863,,33376,,33562,,32520,,32789,,33005,,:,,34453,
Ukraine,46465691,,46192309,,45963359,,45782592,,45598179,,45453282,,45372692,,45245894,,42759661,(b),42590879,,42414905,,42216766,
Armenia,3222953,,3230086,,3237976,,3249482,,3262650,,3274285,,3026878,,:,,3010598,,2998577,,2986151,,2972732,
Azerbaijan,8532700,,8629900,,8896900,,8997586,,9111078,,9235085,,9356483,,9477119,,9593038,,9705643,,9809981,,9898085,
Georgia,4394702,,4382070,,4385429,,4436391,,4469250,,4497617,,:,,4490498,,3729500,(e),3720400,,3726374,,3729633,
:=not available b=break in time series p=provisional e=estimated ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,07.05.2019,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,17 May 2019 16:47:04 CEST,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,https://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tps00001,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,https://ec.europa.eu/info/legal-notice_en,,,,,,,,,,,,,,,,,,,,,,,
Code:,tps00001,,,,,,,,,,,,,,,,,,,,,,,
