geo\time,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,,2017,,2018
Brandenburg,38.9,,40.8,,41.8,,43.5,(b),41.6,(b),43.1,(b),43.5,,43.9,(b),44.8,,44.7,,46.3,,46.2
Bremen,38.8,,40.7,,41.6,,45.3,(b),41.7,(b),43.7,(b),43.4,,43.8,(b),43.9,,45.8,,47.6,,47.6
Hamburg,46,,48.5,,49.8,,52.3,(b),50.6,(b),51.4,(b),52.3,,53.6,(b),55,,56,,55.5,,56.2
Darmstadt,46.4,,46.7,,47.7,,48.8,(b),47.9,(b),49.5,(b),49.8,,50.4,(b),50.7,,50.5,,51.3,,51.4
Gießen,41.1,,41.6,,42.1,,43,(b),42.9,(b),45.3,(b),45.1,,44.1,(b),45.6,,46.7,,47.5,,45.9
Kassel,38.9,,39.3,,40.1,,40.7,(b),39.8,(b),41.2,(b),41.6,,40.7,(b),40.8,,43.8,,45.5,,44.6
Mecklenburg-Vorpommern,34.4,,36.4,,36.7,,38.9,(b),38.8,(b),37.4,(b),38.1,,39.4,(b),42,,42.1,,42.2,,42.4
Braunschweig,39.4,,40.2,,38.9,,41.1,(b),40.1,(b),43.6,(b),44.9,,45.1,(b),45.9,,45.6,,46,,47.5
Hannover,41.9,,42.5,,44,,46.1,(b),43,(b),44.7,(b),44.7,,44.8,(b),45.6,,45.8,,45.1,,46.1
Lüneburg,36.1,,37.7,,39.2,,40,(b),39.4,(b),41.4,(b),41.6,,41.5,(b),43.3,,43.3,,43.4,,44.7
Weser-Ems,35.7,,36.4,,37,,36.8,(b),36.2,(b),39.3,(b),39,,39.6,(b),40,,38.3,,38.2,,39.9
Düsseldorf,40,,41.1,,42.3,,42.8,(b),41.1,(b),43.1,(b),43.5,,43.4,(b),44.9,,46.7,,46.4,,46.8
Köln,44.7,,45.6,,46,,47,(b),45,(b),47.3,(b),47.7,,48.3,(b),48.2,,50.9,,51.1,,51.6
Münster,38.4,,38.8,,39.4,,39.7,(b),39.3,(b),40.3,(b),41.1,,41.5,(b),42.4,,43.8,,43.7,,44.9
Detmold,35,,37.2,,37.7,,38.6,(b),37.3,(b),39.3,(b),40.2,,40.4,(b),41.4,,42,,41.6,,42.5
Arnsberg,35.7,,36.5,,38.7,,38.8,(b),37.9,(b),39.6,(b),40.2,,40.9,(b),42,,42.6,,43,,42.7
Koblenz,37.7,,37.7,,38.1,,39.5,(b),38.9,(b),40.7,(b),41.3,,41.4,(b),43.3,,42,,43.5,,44.5
Trier,37.3,,38.4,,41.6,,41.2,(b),39,(b),41.9,(b),43.3,,42.6,(b),43.3,,43.3,,44.9,,45.7
Rheinhessen-Pfalz,41.6,,42.5,,43.5,,45.2,(b),43.9,(b),45.9,(b),47.1,,46.5,(b),46.7,,46.6,,46.9,,47.8
Saarland,34.5,,36.7,,38,,38.8,(b),39.1,(b),40.4,(b),40.2,,39.5,(b),40.6,,43.8,,43.5,,45.6
Dresden,40.8,,41.9,,42.2,,43.4,(b),43,(b),45.3,(b),45.2,,45.7,(b),47.1,,48.4,,48.5,,49
Chemnitz,37.7,,39,,38.9,,39.3,(b),38.1,(b),38.7,(b),40.7,,41.2,(b),42.7,,41.1,,41.2,,41.8
Leipzig,41.4,,42.2,,44.1,,45.3,(b),43.7,(b),44.9,(b),45.8,,46.6,(b),46.7,,48,,49,,50.7
Sachsen-Anhalt,34.2,,35.5,,37.2,,38.1,(b),36.4,(b),38.2,(b),39.4,,40,(b),40.6,,40.4,,41,,40.6
Schleswig-Holstein,39.5,,40.6,,41.1,,41.7,(b),40.9,(b),43.5,(b),42.7,,43.6,(b),44.3,,44.8,,44.9,,45.6
Thüringen,37.5,,38.4,,39.3,,40.8,(b),40.2,(b),42.3,(b),42.3,,41.5,(b),41.3,,41.6,,42.6,,44
Eesti,42.7,,42.4,,43.7,,43.5,,45.4,(b),46.8,,47,,47.2,(b),47.7,,47.4,,48.4,,50
Northern and Western,:,,:,,:,,:,,:,,42,,44.6,,44.4,(b),43.4,,44.7,,47.1,(b),45.9
Southern,:,,:,,:,,:,,:,,44.2,,45.1,,44.6,(b),46,,46.5,,48.8,(b),48.9
Eastern and Midland,:,,:,,:,,:,,:,,53.2,,53.9,,55.4,(b),56.5,,56.6,,57.6,(b),58.3
"Border, Midland and Western (NUTS 2013)",33.5,(b),35.5,,37.9,,40.2,,41.5,(b),:,,:,,:,,:,,:,,:,,:
Southern and Eastern (NUTS 2013),41.7,(b),42.6,,44.2,,45.3,,48.6,(b),:,,:,,:,,:,,:,,:,,:
"Anatoliki Makedonia, Thraki",23.5,,23.5,,24.1,(b),24.9,,24.8,(b),24.8,,24.3,,25.7,(b),26.7,,28.7,,30.2,,30.6
Kentriki Makedonia,30.4,,31.3,,31.6,(b),32.3,,34.1,(b),34.3,,33.2,,33.2,(b),34.4,,36.2,,36.6,,37.1
Dytiki Makedonia,25.1,,24.5,,24,(b),24.6,,25,(b),25.9,,28.3,,29.3,(b),28.1,,28.7,,31.8,,31.7
Ipeiros,25.4,,25.5,,24.3,(b),25.1,,28.4,(b),29.1,,31.4,,30.5,(b),30.5,,33.5,,35.6,,40.6
Thessalia,28.4,,29.7,,31.4,(b),29.2,,28.4,(b),29.2,,30.2,,29.5,(b),30.6,,30.6,,35,,38.2
Ionia Nisia,17.7,,16.9,,17.6,(b),21.1,,22.7,(b),19.3,,20.9,,22.5,(b),24.5,,24.4,,24.9,,27.7
Dytiki Ellada,26.7,,25.5,,24.3,(b),26.3,,27.8,(b),27.3,,28.2,,28.1,(b),27.5,,27.5,,27.6,,26.1
Sterea Ellada,18.3,,19.3,,20.9,(b),20.7,,22.6,(b),23,,22.9,,22.4,(b),24.3,,25.8,,28.9,,28.4
Peloponnisos,20.5,,20.5,,18.6,(b),19.4,,22.3,(b),22.5,,23.6,,22.9,(b),24.7,,25.2,,27,,29.1
Attiki,37.3,,38.3,,38.5,(b),39.6,,40.5,(b),41.9,,43.6,,44.1,(b),44.8,,46.5,,46.8,,47.7
Voreio Aigaio,24.7,,29.9,,29.5,(b),24.4,,25.7,(b),26.9,,33.6,,32.6,(b),30.4,,32.6,,28.1,,28.8
Notio Aigaio,18.5,,18,,16.5,(b),16.6,,21.5,(b),23.5,,23.6,,23.1,(b),25.1,,21.9,,25.7,,24.8
Kriti,26,,26.2,,23.6,(b),23.1,,24.9,(b),24.5,,24.8,,26.4,(b),28.1,,31,,31.6,,30.5
Galicia,37.1,,37.2,,37.8,,38.1,,38.6,(b),38.8,,39.5,,40.6,(b),42.5,,43.1,,43.9,,44.4
Principado de Asturias,39.4,,40.7,,42.3,,42.5,,45,(b),44.9,,45.6,,47.8,(b),48.3,,48.9,,51,,51.4
Cantabria,40.8,,41.3,,41.7,,43.8,,43.1,(b),43,,44.4,,45.1,(b),45.6,,46.9,,47.7,,48.5
País Vasco,52.8,,51.2,,52.7,,52.9,,52.4,(b),53.7,,54.2,,54,(b),54.5,,56,,57.1,,56.9
Comunidad Foral de Navarra,44.9,,42.6,,42.1,,44.8,,46.9,(b),45.8,,46.3,,49.1,(b),49.5,,51,,51.5,,51
La Rioja,36.8,,35.9,,40.9,,41.8,,39.5,(b),40.7,,41.8,,43.1,(b),45,,44.8,,43.5,,43.7
Aragón,40.1,,38.4,,38.6,,40.1,,41.6,(b),41.8,,41.1,,41.6,(b),41.4,,42.5,,43.6,,44.3
Comunidad de Madrid,49.3,,49.1,,47.7,,49.7,,50.8,(b),52.4,,53.1,,54.6,(b),53.7,,53.8,,55.2,,54.9
Castilla y León,37.3,,37.7,,37.6,,37.9,,39.6,(b),40.3,,39.8,,40,(b),40.7,,40.4,,41.7,,43
Castilla-la Mancha,29.4,,28.7,,29.8,,29.8,,31.6,(b),31.2,,31.9,,33.4,(b),33.3,,33.3,,33.5,,34.6
Extremadura,29.5,,28.8,,28.9,,30.4,,30.8,(b),29.6,,30.2,,32.7,(b),32.4,,31.6,,32.6,,32.3
